gene,predictor_set,R2_insample,R2_oof
TPX2,rna_others,0.9786423487755747,0.9572352511193742
TSPAN14,rna_others,0.7387358546621843,0.43696914226832906
TWIST1,rna_others,0.7848004370430339,0.49732915415603374
TYMS,rna_others,0.908431402778501,0.7994993236026912
UBE2C,rna_others,0.9723004415977774,0.9416745355625162
UBE2T,rna_others,0.9463192695655325,0.893744562754994
VEGFA,rna_others,0.8526827780049994,0.6751568732047619
WIF1,rna_others,0.8144074172458653,0.6198280567811743
XRCC4,rna_others,0.8455032150908781,0.6743278743825956
ZEB1,rna_others,0.9703437154680545,0.9314949709100869
ZEB2,rna_others,0.9723325979928182,0.9431201025382355
ZNF703,rna_others,0.8791703663569082,0.720577032601712
FMOD,rna_others,0.7915235905137452,0.5305789868638798
AGR3,rna_others,0.925315951899821,0.8377765043801382
NDUFS6,rna_others,0.9373574816470214,0.8588702083477802
COL1A2,rna_others,0.979398669468306,0.9471217357251485
MARCKS,rna_others,0.7865625595702657,0.5581834410240669
VIM,rna_others,0.9119371740068296,0.7923063203900185
A2M,rna_others,0.8828377107091901,0.7332867880347453
ECM1,rna_others,0.752766919404356,0.5189759026823796
SLPI,rna_others,0.8707615360545682,0.7196825445380048
ELN,rna_others,0.8603595283584958,0.6799654353443867
CTSS,rna_others,0.9339856706526887,0.8604093204222414
APOD,rna_others,0.791504684265144,0.5341200967539954
PABPC1,rna_others,0.8970287845005657,0.7607279621249086
CPXM1,rna_others,0.9032856025302224,0.7806513049249949
PIP,rna_others,0.8256897708460399,0.6464460265727612
RGS1,rna_others,0.8354131519296263,0.6717435105296266
HOXB2,rna_others,0.7273931512565842,0.48223792971978074
MT1E,rna_others,0.7687149738755197,0.4759982058235115
TRPS1,rna_others,0.9105519393342764,0.8051124219093787
TSPYL5,rna_others,0.6704179661516207,0.3300408052791468
NID1,rna_others,0.9540186546424291,0.8928678017513721
WASL,rna_others,0.9247057499938364,0.8423544995235882
COL14A1,rna_others,0.9238985214955469,0.8283918904733707
TP53INP1,rna_others,0.8944405913703831,0.7706004801941373
ENPP2,rna_others,0.8917811680946849,0.7495030460910661
SYNGR2,rna_others,0.8666783591794633,0.7003116515954213
C1orf115,rna_others,0.7897035593878061,0.5580285034470814
PLTP,rna_others,0.8538397513863765,0.6709183377801199
PRRX1,rna_others,0.9478526384549781,0.874059896992416
LRP5,rna_others,0.791572771070045,0.5508048502408203
S100A16,rna_others,0.8836935632701332,0.7324091078097175
IFI16,rna_others,0.9103668020586179,0.7753621892333904
CHAD,rna_others,0.8242872852263705,0.6469860570918577
EIF3K,rna_others,0.8799204336283879,0.7324818420511076
IGFBP4,rna_others,0.8921959287328353,0.7486811603276677
TPD52,rna_others,0.872298672490259,0.7147654500956543
ANXA9,rna_others,0.9006698316781012,0.7941603932383241
FABP4,rna_others,0.9060408471679893,0.794594086733314
KRT19,rna_others,0.8082323389356285,0.5724850475541328
PLEKHF2,rna_others,0.9247618279810909,0.8387791681321144
GIMAP4,rna_others,0.9690166716660018,0.9290773643735887
RAB25,rna_others,0.8959383580698728,0.7540919130210639
FXYD5,rna_others,0.8462386625525731,0.6426004748657534
RGS2,rna_others,0.8473634656746489,0.6704841990658648
KAT2A,rna_others,0.9023685094207695,0.7952310919137711
PLOD2,rna_others,0.8389767326436421,0.6531709174125362
FSCN1,rna_others,0.9046673812044435,0.7787687794818825
SQLE,rna_others,0.8534995346541006,0.6831398998160715
GIMAP7,rna_others,0.9598829321442856,0.9133457493048124
CD163,rna_others,0.9185526625235233,0.825474424805493
CX3CL1,rna_others,0.873513302364282,0.7392072464403692
CLEC11A,rna_others,0.9198029898068036,0.8174548117380755
MRPL36,rna_others,0.8566492731597899,0.6916708027253174
AKR1B1,rna_others,0.8365541014901388,0.6078191432136222
CST1,rna_others,0.4882835758724431,0.02184358446631285
EPHX2,rna_others,0.7736870876987831,0.528026312380945
RAB34,rna_others,0.7670215465594697,0.4681772270622555
C6orf62,rna_others,0.8314353091836431,0.6405300528523684
CHI3L1,rna_others,0.828472731071437,0.628045519824288
LGALS3BP,rna_others,0.8051531829226882,0.5645229471588367
PYCARD,rna_others,0.851369459055085,0.6710268551933274
GRHL2,rna_others,0.9054639101293969,0.7766553799515513
ATP6V1B2,rna_others,0.864034536218888,0.7001261917801457
LXN,rna_others,0.7342687034141884,0.39089062494495996
ZHX1,rna_others,0.8932542455128882,0.7564895915481933
CLSTN2,rna_others,0.8877719888748518,0.7750543625630157
QSOX1,rna_others,0.7935481079297773,0.5757817836245327
LAMB3,rna_others,0.8960032725974972,0.764674907040419
PTN,rna_others,0.8616973007567819,0.6968566113931303
S100A9,rna_others,0.778064684933705,0.5660786049722221
THRSP,rna_others,0.7962021769945351,0.6015021235872225
SSR3,rna_others,0.8844465978301433,0.7465131056307697
ID4,rna_others,0.8524746861055688,0.694349956265268
PDK4,rna_others,0.8955965446199688,0.7821427244292466
FPR3,rna_others,0.928273190392479,0.8608893157740605
TIMP2,rna_others,0.9549682359986182,0.895338098087317
KCNK1,rna_others,0.7227882899802724,0.45425689408970404
LMOD1,rna_others,0.901075090004868,0.7899769752539816
KDM2A,rna_others,0.8834454501522786,0.750412579702525
KRT10,rna_others,0.7578382706438809,0.47616955633310787
PPP1R1B,rna_others,0.7647708832682927,0.5300887288390473
RPL37,rna_others,0.8522959228883167,0.6703141490468124
NES,rna_others,0.7981760424706555,0.5312325933213284
MRC2,rna_others,0.9299283062269522,0.829916064205997
POLD2,rna_others,0.8635057541373672,0.690466319897928
NECAB3,rna_others,0.9094932211667294,0.8004140708996359
KRT15,rna_others,0.7925902557362091,0.580002214432284
CAPN8,rna_others,0.8869926921152809,0.7548075914051376
EFNA4,rna_others,0.8953912924156467,0.7626843623914047
METRN,rna_others,0.879926464409903,0.7478149545916815
MNDA,rna_others,0.9285911746470907,0.8586672350935654
TM4SF1,rna_others,0.7289952020945094,0.4207735146678494
SYCP2,rna_others,0.7476719784072801,0.4441361720416712
COL10A1,rna_others,0.9540063893901033,0.9003793475267353
BNIPL,rna_others,0.8455281464085802,0.6558881964928788
AQP1,rna_others,0.9110747980104018,0.7833014392198581
CD9,rna_others,0.7942292119672452,0.5372674580779351
PTMS,rna_others,0.827174565359774,0.6375847588928216
SND1,rna_others,0.8793724208780674,0.7356302725103978
FZD6,rna_others,0.7947182701673307,0.5447809884453119
C1S,rna_others,0.9431894696924726,0.842970090223215
S100A14,rna_others,0.8768343632451723,0.708325333054582
RBP1,rna_others,0.7229489069506767,0.4339369110892414
RIN2,rna_others,0.8991677509184077,0.7747791549601958
YWHAZ,rna_others,0.9393316152129244,0.8680472019240333
MAL2,rna_others,0.8434573546017854,0.6678372950144448
COL1A1,rna_others,0.975227511526352,0.946434242466375
KRT14,rna_others,0.9213116406847479,0.8182542854307051
ETV3,rna_others,0.9137468346928821,0.7942379793555989
MIR635,rna_others,0.7738302151553802,0.5248826028813712
TMEM204,rna_others,0.9282201449314467,0.8615913788354068
MT2A,rna_others,0.8524694192665668,0.6683838696990816
CRABP2,rna_others,0.811904450175639,0.5576931466947097
SLC30A1,rna_others,0.8699029730479066,0.7301497345431718
FAM107B,rna_others,0.752280622398185,0.475870927442297
COPZ2,rna_others,0.9087063197473455,0.7920825611130515
NRN1,rna_others,0.8345731008032995,0.5701456551191931
CYB5R1,rna_others,0.8770875521791435,0.7374935181945612
EFR3A,rna_others,0.9160081778979845,0.8213054954455727
ISM1,rna_others,0.8829750351139007,0.7501829620208662
RARRES1,rna_others,0.8886601363151962,0.75956007485356
GAPDH,rna_others,0.8672108985891906,0.7154655159581536
ASAP1,rna_others,0.9128940032692694,0.811534780210236
RTP4,rna_others,0.8325637079770869,0.6164406261718266
TFAP2C,rna_others,0.817315851147405,0.6198189673525696
ADAMTS2,rna_others,0.9480700553125093,0.8798515250276241
TMEM147,rna_others,0.8726403115718708,0.7295521314063272
SSH3,rna_others,0.9073327301297504,0.7941961995616261
PPP1R2,rna_others,0.8326426938114853,0.623771212783611
CFH,rna_others,0.9336994832136111,0.8501081277616978
CD93,rna_others,0.9589700423716658,0.9133847917608202
SNRPE,rna_others,0.9163877381976091,0.8246427722622242
INHBA,rna_others,0.9386927998061507,0.8705856817644066
DSTN,rna_others,0.8870113549153581,0.7242693225154793
CLDN3,rna_others,0.8581526224394392,0.6937088097519234
LY96,rna_others,0.9367968762414128,0.8638282736969477
ALDOC,rna_others,0.7335321575255429,0.4306989642280975
FKBP10,rna_others,0.8053339823334281,0.5238721012146104
ATP6V1C1,rna_others,0.9347733408462128,0.8550994449002463
CCDC3,rna_others,0.8400608450894212,0.643058583834687
NME4,rna_others,0.8440861443716138,0.6658438849067891
ID1,rna_others,0.8043851558925756,0.560595698120891
HOXB7,rna_others,0.6898209577970252,0.32257202150560116
TM4SF18,rna_others,0.7697376632338494,0.5284587626023223
CDC42SE1,rna_others,0.9118941967221973,0.8084556340747893
SCNN1A,rna_others,0.8716845467205984,0.7086570767894735
CMTM3,rna_others,0.9304663833172107,0.8400714694329754
S100A10,rna_others,0.8516975844289867,0.6826491730836318
SKAP1,rna_others,0.770883347796808,0.5077288233278161
VEZF1,rna_others,0.92844083821802,0.8357986830128834
TMEM97,rna_others,0.8348757075528572,0.6675021228110442
SELENBP1,rna_others,0.862390435091041,0.6800128079950304
SFRP4,rna_others,0.8888792251432599,0.7715010776044047
CHCHD2,rna_others,0.8169620342675601,0.5703163033818872
