model,repeat,fold,metric,value
B5_xgboost__LATE,3,3,macro_f1,0.8916381393475635
B5_xgboost__LATE,3,4,macro_f1,0.875787728026534
B5_xgboost__LATE,4,0,macro_f1,0.8603607301883164
B5_xgboost__LATE,4,1,macro_f1,0.8499798477384685
B5_xgboost__LATE,4,2,macro_f1,0.8605614973262031
B5_xgboost__LATE,4,3,macro_f1,0.8613654275418982
B5_xgboost__LATE,4,4,macro_f1,0.8675687429262421
B0a_dummy_stratified,0,0,weighted_f1,0.3637812891628606
B0a_dummy_stratified,0,1,weighted_f1,0.4120989646292568
B0a_dummy_stratified,0,2,weighted_f1,0.39217958105751344
B0a_dummy_stratified,0,3,weighted_f1,0.38747507164035006
B0a_dummy_stratified,0,4,weighted_f1,0.38028713535624975
B0a_dummy_stratified,1,0,weighted_f1,0.42039355029745085
B0a_dummy_stratified,1,1,weighted_f1,0.30243176216091394
B0a_dummy_stratified,1,2,weighted_f1,0.39014769189055837
B0a_dummy_stratified,1,3,weighted_f1,0.36980014182901405
B0a_dummy_stratified,1,4,weighted_f1,0.36597510543352785
B0a_dummy_stratified,2,0,weighted_f1,0.3020311598039128
B0a_dummy_stratified,2,1,weighted_f1,0.383124248840571
B0a_dummy_stratified,2,2,weighted_f1,0.39151189307003476
B0a_dummy_stratified,2,3,weighted_f1,0.3482446271999851
B0a_dummy_stratified,2,4,weighted_f1,0.3680363372728087
B0a_dummy_stratified,3,0,weighted_f1,0.3244645436844419
B0a_dummy_stratified,3,1,weighted_f1,0.39138853279979435
B0a_dummy_stratified,3,2,weighted_f1,0.3683533309162754
B0a_dummy_stratified,3,3,weighted_f1,0.369355507210876
B0a_dummy_stratified,3,4,weighted_f1,0.39898575457595215
B0a_dummy_stratified,4,0,weighted_f1,0.3347067813998283
B0a_dummy_stratified,4,1,weighted_f1,0.3467628382810136
B0a_dummy_stratified,4,2,weighted_f1,0.30906787554147447
B0a_dummy_stratified,4,3,weighted_f1,0.37070529578809297
B0a_dummy_stratified,4,4,weighted_f1,0.4046225326585506
B0b_dummy_mostfreq,0,0,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,0,1,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,0,2,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,0,3,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,0,4,weighted_f1,0.36429757293066645
B0b_dummy_mostfreq,1,0,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,1,1,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,1,2,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,1,3,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,1,4,weighted_f1,0.36429757293066645
B0b_dummy_mostfreq,2,0,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,2,1,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,2,2,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,2,3,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,2,4,weighted_f1,0.36429757293066645
B0b_dummy_mostfreq,3,0,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,3,1,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,3,2,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,3,3,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,3,4,weighted_f1,0.36429757293066645
B0b_dummy_mostfreq,4,0,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,4,1,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,4,2,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,4,3,weighted_f1,0.36100828485809977
B0b_dummy_mostfreq,4,4,weighted_f1,0.36429757293066645
B1_pam50_centroid,0,0,weighted_f1,0.908800266630905
B1_pam50_centroid,0,1,weighted_f1,0.8796816807087399
B1_pam50_centroid,0,2,weighted_f1,0.8480476590777376
B1_pam50_centroid,0,3,weighted_f1,0.8572878433365976
B1_pam50_centroid,0,4,weighted_f1,0.8618127194400828
