model,metric,mean,std,n,ci95_lo,ci95_hi,nb_ci95_lo,nb_ci95_hi
B2_elasticnet_logreg,roc_auc__BRCA_Her2,0.9949053321927572,0.003800784838528212,25,0.993336445320498,0.9964742190650164,0.9906809750073244,0.99912968937819
B2_elasticnet_logreg,pr_auc__BRCA_Her2,0.9492000983375655,0.044195042415855354,25,0.9309572814429308,0.9674429152322002,0.9000798105755727,0.9983203860995582
B2_elasticnet_logreg,roc_auc__BRCA_LumA,0.986800599215896,0.004878884976842369,25,0.9847866944786853,0.9888145039531068,0.9813779947580218,0.9922232036737703
B2_elasticnet_logreg,pr_auc__BRCA_LumA,0.988649402954088,0.003934961991000547,25,0.9870251304754306,0.9902736754327454,0.9842759154594565,0.9930228904487195
B2_elasticnet_logreg,roc_auc__BRCA_LumB,0.9707462910407207,0.00997746641530891,25,0.9666277953240712,0.9748647867573703,0.9596569019449029,0.9818356801365385
B2_elasticnet_logreg,pr_auc__BRCA_LumB,0.9019888672171282,0.03701555248985446,25,0.8867095981087928,0.9172681363254637,0.8608481760766555,0.9431295583576009
B3_linear_svm,macro_f1,0.8829860394649276,0.021393747387261037,25,0.8741551345728473,0.8918169443570079,0.8592081003449363,0.9067639785849189
B3_linear_svm,weighted_f1,0.898787104194926,0.017086141938070603,25,0.8917342914409748,0.9058399169488772,0.8797968246779823,0.9177773837118698
B3_linear_svm,balanced_accuracy,0.8767492562262299,0.025258846667257882,25,0.8663229167652426,0.8871755956872172,0.8486754780599567,0.9048230343925031
B3_linear_svm,mcc,0.8422074923082933,0.02698213288098726,25,0.8310698152597481,0.8533451693568385,0.8122183790707658,0.8721966055458208
B3_linear_svm,f1__BRCA_Basal,0.9827365751756842,0.014984104594163555,25,0.9765514407918486,0.9889217095595199,0.9660825911700697,0.9993905591812988
B3_linear_svm,precision__BRCA_Basal,0.9856513878278585,0.019209857018984464,25,0.9777219485737462,0.9935808270819709,0.96430071922208,1.007002056433637
B3_linear_svm,recall__BRCA_Basal,0.9803030303030303,0.023308410825880803,25,0.9706817911875563,0.9899242694185044,0.9543970511601918,1.0062090094458689
B3_linear_svm,f1__BRCA_Her2,0.8348128973883081,0.06980872804525387,25,0.8059972707079718,0.8636285240686444,0.7572244480410716,0.9124013467355446
B3_linear_svm,precision__BRCA_Her2,0.8828890686197188,0.09063158021262119,25,0.8454781910119381,0.9202999462274996,0.7821571978710002,0.9836209393684374
B3_linear_svm,recall__BRCA_Her2,0.8006666666666666,0.10005554013202424,25,0.7593657695943866,0.8419675637389467,0.6894605979583033,0.91187273537503
B3_linear_svm,f1__BRCA_LumA,0.9246354533665517,0.01704234796257906,25,0.9176007178772054,0.931670188855898,0.905693848374188,0.9435770583589155
B3_linear_svm,precision__BRCA_LumA,0.9218241500261268,0.022055027641383052,25,0.9127202820609834,0.9309280179912702,0.8973112353387822,0.9463370647134715
B3_linear_svm,recall__BRCA_LumA,0.9279166666666667,0.02288507924067233,25,0.9184701702411533,0.9373631630921802,0.9024811966159684,0.9533521367173651
B3_linear_svm,f1__BRCA_LumB,0.7897592319291662,0.04571119876719171,25,0.7708905764519862,0.8086278874063462,0.7389538222123386,0.8405646416459938
B3_linear_svm,precision__BRCA_LumB,0.7846506383156009,0.05574110438370768,25,0.7616418412833825,0.8076594353478193,0.7226975562993992,0.8466037203318025
B3_linear_svm,recall__BRCA_LumB,0.7981106612685561,0.06024700212024214,25,0.7732419210648824,0.8229794014722298,0.7311495289972589,0.8650717935398533
B3_linear_svm,roc_auc_macro,0.9820432225963824,0.0047298120133001595,25,0.9800908521541782,0.9839955930385866,0.9767863042984585,0.9873001408943064
B3_linear_svm,pr_auc_macro,0.9436443158310485,0.015017977504273812,25,0.9374451993971219,0.949843432264975,0.9269526840033933,0.9603359476587037
B3_linear_svm,roc_auc__BRCA_Basal,0.9992334437086092,0.0011645271619737314,25,0.9987527505216943,0.9997141368955241,0.9979391376920076,1.000527749725211
B3_linear_svm,pr_auc__BRCA_Basal,0.9972767270865064,0.003906282520443287,25,0.9956642929114553,0.9988891612615575,0.9929351151998532,1.0016183389731594
B3_linear_svm,roc_auc__BRCA_Her2,0.9910061781199505,0.005682203141238004,25,0.9886606799419346,0.9933516762979664,0.9846907309982259,0.9973216252416751
B3_linear_svm,pr_auc__BRCA_Her2,0.9254203446798804,0.0405496650888592,25,0.9086822655896015,0.9421584237701593,0.8803516874518784,0.9704890019078825
B3_linear_svm,roc_auc__BRCA_LumA,0.9793952708723158,0.005634388411253398,25,0.9770695096447879,0.9817210320998437,0.9731329671161753,0.9856575746284564
B3_linear_svm,pr_auc__BRCA_LumA,0.9813296470061619,0.005212174072968683,25,0.9791781672917309,0.9834811267205928,0.975536610585453,0.9871226834268707
B3_linear_svm,roc_auc__BRCA_LumB,0.9585379976846541,0.012255037060643329,25,0.9534793670122221,0.963596628357086,0.9449172177499182,0.97215877761939
B3_linear_svm,pr_auc__BRCA_LumB,0.8705505445516454,0.03630918235583799,25,0.8555628507040246,0.8855382383992662,0.8301949438274886,0.9109061452758022
B4_random_forest,macro_f1,0.9208298393716479,0.019319425571870944,25,0.912855172441795,0.9288045063015007,0.8993573915220164,0.9423022872212793
B4_random_forest,weighted_f1,0.9296750906568099,0.015683028903183648,25,0.9232014544977596,0.9361487268158601,0.9122442918478544,0.9471058894657653
B4_random_forest,balanced_accuracy,0.9070124294565085,0.02449519680514482,25,0.8969013091659217,0.9171235497470953,0.8797874048817228,0.9342374540312942
