patient_id,burden_universe,burden_genome,cluster,PC1
TCGA-B6-A0RO,0.9376443418013857,0.813608776844071,B,3.2582992371337576
TCGA-B6-A0RP,0.9630484988452656,0.9234943977591037,B,7.916887423071063
TCGA-B6-A0RV,0.371824480369515,0.253734827264239,A,-5.734935570177036
TCGA-B6-A0WT,0.2678983833718245,0.17162698412698413,A,-3.3219631757018986
TCGA-B6-A0WY,0.8106235565819861,0.6596638655462185,B,2.4325784404447455
TCGA-B6-A0X4,0.12009237875288684,0.03571428571428571,A,-3.3809484743872518
TCGA-B6-A0X7,0.2909930715935335,0.17151027077497666,A,-3.8017886345125014
TCGA-B6-A1KI,0.9491916859122402,0.9504551820728291,B,3.199903845279358
TCGA-B6-A2IU,0.3625866050808314,0.19992997198879553,A,-2.884783761471822
TCGA-B6-A401,0.9399538106235565,0.8633286647992531,B,9.115049112078372
TCGA-B6-A408,0.9584295612009238,0.9134570494864612,B,3.9629797572202663
TCGA-B6-A40B,0.28868360277136257,0.23616946778711484,A,-2.8349117040804175
TCGA-BH-A0AU,0.8429561200923787,0.6988211951447245,B,6.417972961045311
TCGA-BH-A0AZ,0.4780600461893764,0.30514705882352944,A,-2.8198809369252564
TCGA-BH-A0B6,0.8267898383371824,0.8196778711484594,B,3.6946275812760243
TCGA-BH-A0B8,0.16628175519630484,0.30374649859943975,A,-3.4856691753675006
TCGA-BH-A0BA,0.6674364896073903,0.5168067226890757,B,5.703386264356601
TCGA-BH-A0BC,0.39260969976905313,0.27824463118580767,A,-5.808310724880348
TCGA-BH-A0BJ,0.9237875288683602,0.7940592903828197,B,4.088828613278593
TCGA-BH-A0BM,0.19399538106235567,0.10580065359477124,A,-4.5047044335651965
TCGA-BH-A0BS,0.9745958429561201,0.9811507936507936,B,7.689276715241293
TCGA-BH-A0BT,0.8822170900692841,0.7956932773109243,B,5.666139618288489
TCGA-BH-A0BZ,0.8729792147806005,0.7872899159663865,B,7.405742647138425
TCGA-BH-A0DG,0.394919168591224,0.23243464052287582,A,-3.88410754449297
TCGA-BH-A0DH,0.22863741339491916,0.23249299719887956,A,-3.4833008253635294
TCGA-BH-A0DI,0.3140877598152425,0.2786531279178338,A,-3.4866989145812757
TCGA-BH-A0DK,0.38799076212471134,0.3077731092436975,A,-4.168007441549384
TCGA-BH-A0DP,0.8845265588914549,0.845296451914099,B,7.111957887806572
TCGA-BH-A0DQ,0.28868360277136257,0.2681489262371615,A,-3.815919055238582
TCGA-BH-A0DS,0.5681293302540416,0.43458216619981327,A,1.4801365422386636
TCGA-BH-A0DV,0.14549653579676675,0.04843604108309991,A,-4.192953405089195
TCGA-BH-A0GZ,0.23556581986143188,0.22700746965452848,A,-4.485896499737131
TCGA-BH-A0H3,0.20323325635103925,0.08858543417366947,A,-3.1122422712123403
TCGA-BH-A0H6,0.15935334872979215,0.08700980392156862,A,-3.250289680092812
TCGA-BH-A0H7,0.8960739030023095,0.7602707749766573,B,6.490150865924834
TCGA-BH-A0H9,0.38799076212471134,0.34360410830999066,A,-4.56213677660662
TCGA-BH-A0HA,0.02771362586605081,0.0859593837535014,A,-4.28518922736019
TCGA-BH-A0HF,0.9076212471131639,0.9127567693744164,B,5.466417999770367
TCGA-BH-A0HI,0.19861431870669746,0.08129084967320262,A,-4.373797432771376
TCGA-BH-A0HK,0.22401847575057737,0.12715919701213818,A,-0.5123666536001089
TCGA-BH-A0HN,0.558891454965358,0.43288982259570497,A,0.22082374942388738
TCGA-BH-A0HP,0.815242494226328,0.8644957983193278,B,6.2117612185702855
TCGA-BH-A0W4,0.03695150115473441,0.07498832866479925,A,-5.007963533696298
TCGA-BH-A0W5,0.9815242494226328,0.9680205415499533,B,7.771462031634461
TCGA-BH-A1EN,0.8429561200923787,0.7787698412698413,B,6.269948370412011
TCGA-BH-A1EO,0.8660508083140878,0.818218954248366,B,6.921763116918623
TCGA-BH-A1ET,0.06004618937644342,0.1032329598506069,A,-3.0986259180990743
TCGA-BH-A1EU,0.3210161662817552,0.44065126050420167,A,-7.129486971969617
TCGA-BH-A1EV,0.815242494226328,0.8145424836601307,B,6.1055187086159
TCGA-BH-A1EY,0.39260969976905313,0.3825863678804855,A,-6.234988530323628
TCGA-BH-A1F2,0.8545034642032333,0.821078431372549,B,6.512196365077443
TCGA-BH-A1F5,0.18244803695150116,0.1457749766573296,A,-3.116299754933237
TCGA-BH-A1F8,0.7875288683602771,0.5951797385620915,B,5.519990868905908
TCGA-BH-A1FB,0.07390300230946882,0.025793650793650792,A,-5.5937527032632035
TCGA-BH-A1FD,0.3579676674364896,0.36817226890756305,A,-4.189584657246445
TCGA-BH-A1FG,0.27251732101616627,0.13778011204481794,A,-2.96169742351731
TCGA-BH-A1FH,0.279445727482679,0.29026610644257705,A,-5.415348889892234
TCGA-BH-A1FJ,0.16628175519630484,0.08088235294117647,A,0.529729315502842
TCGA-BH-A1FL,0.21478060046189376,0.12546685340802988,A,-2.1214931670982504
TCGA-BH-A1FM,0.8521939953810623,0.7677987861811392,B,4.627447698414737
TCGA-BH-A1FR,0.0023094688221709007,0.00029178338001867413,A,-5.72800240621505
TCGA-BH-A201,0.2586605080831409,0.14046451914098973,A,-4.812791932323387
TCGA-BH-A204,0.9030023094688222,0.8417366946778712,B,7.817575692734279
TCGA-BH-A28Q,0.3187066974595843,0.17670401493930907,A,-1.1131582545189187
TCGA-BH-A2L8,0.9745958429561201,0.9811507936507936,B,7.097754071590219
TCGA-BH-A42U,0.0,0.0,A,-5.382862146779943
TCGA-BH-A42V,0.9584295612009238,0.9590336134453782,B,7.0183330269231305
TCGA-BH-A5J0,0.7575057736720554,0.8026960784313726,B,3.8973111145605634
TCGA-BH-A6R8,0.5565819861431871,0.3520074696545285,A,2.1334486339531487
TCGA-BH-A8FY,0.2517321016166282,0.1645658263305322,A,-1.5588233838665422
TCGA-BH-A8G0,0.17782909930715934,0.06810224089635854,A,-4.387243646131045
TCGA-BH-AB28,0.23094688221709006,0.16013071895424835,A,-3.432928387543237
TCGA-C8-A1HE,0.20092378752886836,0.1196311858076564,A,-3.2818747547508393
TCGA-C8-A1HI,0.8660508083140878,0.8332166199813259,B,5.938368021295304
TCGA-C8-A3M7,0.43648960739030024,0.2329014939309057,A,-4.5478766466215
TCGA-D8-A1JB,0.3741339491916859,0.4453197945845005,A,-7.158862787348104
TCGA-D8-A1JH,0.0,0.0,A,-4.734153613467954
TCGA-D8-A1JI,0.9076212471131639,0.857376283846872,B,7.250150691690974
TCGA-D8-A1JN,0.3140877598152425,0.16999299719887956,A,-2.8097532596167425
TCGA-D8-A1JS,0.18244803695150116,0.07300420168067227,A,-2.9639482928551084
TCGA-D8-A1JU,0.3579676674364896,0.17425303454715219,A,-3.35525776557288
TCGA-D8-A1X6,0.976905311778291,0.9806839402427637,B,5.611326031464105
TCGA-D8-A1X8,0.23556581986143188,0.18125583566760037,A,-4.2627024783681415
TCGA-D8-A1XA,0.8475750577367206,0.6563375350140056,B,5.442486432195414
TCGA-D8-A1XB,0.3695150115473441,0.20798319327731093,A,-1.1562348748042042
TCGA-D8-A1XD,0.16859122401847576,0.1556372549019608,A,-4.091384510681708
TCGA-D8-A1XG,0.17551963048498845,0.15038515406162464,A,-2.8824186059795407
TCGA-D8-A1XO,0.23094688221709006,0.22928338001867413,A,-4.364114103634701
TCGA-D8-A1XU,0.6351039260969977,0.5394491129785247,B,3.4574894283076967
TCGA-D8-A1XV,0.22170900692840648,0.26616479925303455,A,-1.4561660525810525
TCGA-D8-A1XY,0.9099307159353349,0.8777427637721755,B,6.924657731953662
TCGA-D8-A27E,0.0,0.0,A,-5.464878300372592
TCGA-D8-A27I,0.930715935334873,0.8423202614379085,B,3.0174325561711166
TCGA-D8-A27K,0.2909930715935335,0.13276143790849673,A,-2.4985827216105907
TCGA-D8-A27L,0.21939953810623555,0.12412464985994398,A,-4.937707957511424
TCGA-D8-A27P,0.17551963048498845,0.06705182072829131,A,-4.648356925386016
TCGA-D8-A27T,0.26558891454965355,0.19024276377217553,A,-3.7468710537101364
TCGA-D8-A27V,0.8914549653579676,0.933765172735761,B,8.73485110725794
TCGA-D8-A3Z5,0.2956120092378753,0.1551704014939309,A,-2.909674434197078
TCGA-D8-A3Z6,0.5057736720554272,0.3821195144724556,A,-1.2140770040955589
TCGA-D8-A4Z1,0.07159353348729793,0.03495564892623716,A,-6.0581050280718625
TCGA-D8-A73U,0.3579676674364896,0.2655812324929972,A,-4.531491968763409
TCGA-D8-A73X,0.394919168591224,0.2728174603174603,A,-0.6135415390086165
TCGA-E2-A106,0.4341801385681293,0.28104575163398693,A,-3.264082314766294
TCGA-E2-A10F,0.22863741339491916,0.1613562091503268,A,-2.7846014046483445
TCGA-E2-A14U,0.0,0.0,A,-4.656123375361978
TCGA-E2-A15I,0.17090069284064666,0.16812558356676005,A,-4.50547715170236
