modality,gene,smd_B_minus_A,mwu_p,abs_smd,fdr
cnv,SLC30A1,1.3413436385582478,1.098590760567017e-34,1.3413436385582478,3.899096715782937e-34
cnv,RAB4A,1.3410710444423097,7.738585335885306e-35,1.3410710444423097,2.7769122517444786e-34
cnv,CFH,1.3401863893168668,3.5398304293127255e-34,1.3401863893168668,1.1790358276095462e-33
cnv,NEK2,1.340096950743939,1.098590760567017e-34,1.340096950743939,3.899096715782937e-34
cnv,OLR1,1.339955479277596,2.0642126806613262e-61,1.339955479277596,6.703530680447656e-60
cnv,CHCHD2,1.3390522537125662,9.047511977866076e-55,1.3390522537125662,8.903574287309116e-54
cnv,BRCA1,1.338805409532732,6.106817076959579e-38,1.338805409532732,2.7074250453824207e-37
cnv,C6orf62,1.3380195819342355,1.1805679903939905e-53,1.3380195819342355,1.0649707080012457e-52
cnv,ASPM,1.3369020743442368,5.328066076236147e-34,1.3369020743442368,1.7611088633666042e-33
cnv,MFAP5,1.3360128091737868,1.2285360433955038e-61,1.3360128091737868,4.8359646071841196e-60
cnv,TUBB2A,1.3358651300143696,5.797008208661704e-52,1.3358651300143696,4.0925617733975833e-51
cnv,A2M,1.335680000885052,1.2285360433955038e-61,1.335680000885052,4.8359646071841196e-60
cnv,CLEC2B,1.3351619268887367,2.0642126806613262e-61,1.3351619268887367,6.703530680447656e-60
cnv,LPL,1.3351055710014834,2.2821682132387556e-24,1.3351055710014834,6.86235303008598e-24
cnv,STC1,1.3348717671469958,5.099315117179432e-25,1.3348717671469958,1.536893349702107e-24
cnv,ELF3,1.3346892776477755,2.071823812807587e-34,1.3346892776477755,7.063777251540829e-34
cnv,KCNK1,1.3340821434013683,9.677894836274724e-35,1.3340821434013683,3.463246664551203e-34
cnv,PTPRC,1.3338139159696167,1.5862435573558604e-34,1.3338139159696167,5.494747682680701e-34
cnv,KCTD3,1.3335997110117144,6.716731512988074e-34,1.3335997110117144,2.2144756942567277e-33
cnv,PPP2R5A,1.33282410660268,2.6162274134717833e-34,1.33282410660268,8.850206797135016e-34
cnv,SCG5,1.3320480651958424,6.041704236229379e-41,1.3320480651958424,3.126762471259746e-40
cnv,AEBP1,1.3298228399912997,1.9325366006101436e-53,1.3298228399912997,1.6515559501266952e-52
cnv,POLD2,1.3298228399912997,1.9325366006101436e-53,1.3298228399912997,1.6515559501266952e-52
cnv,RGS2,1.3286812145858242,1.4615665598275315e-35,1.3286812145858242,5.718599280770975e-35
cnv,SSR3,1.324991991757416,9.643144333594926e-61,1.324991991757416,2.4089316325653477e-59
cnv,KAT2A,1.3248724322585061,1.038666525900487e-38,1.3248724322585061,4.801522480942108e-38
cnv,CDC20,1.324106609379797,2.825478346948917e-49,1.324106609379797,1.7991648885718837e-48
cnv,UBE2T,1.3226658161270537,1.220491399690552e-34,1.3226658161270537,4.273364766032418e-34
cnv,LAMB3,1.3221401539026274,1.1099228618408427e-34,1.3221401539026274,3.928582554581076e-34
cnv,DNMT1,1.321873559023388,1.3974645435572993e-56,1.321873559023388,1.83364287078882e-55
cnv,RGS1,1.3208956795287823,4.6426840526977436e-35,1.3208956795287823,1.6893127687547252e-34
cnv,ATP6V1B2,1.3200158392999919,2.1464937580531715e-23,1.3200158392999919,6.439481274159515e-23
cnv,NRN1,1.3185989399521874,4.328013440374901e-53,1.3185989399521874,3.627154489707739e-52
cnv,RUNDC1,1.3119892262433903,6.106817076959579e-38,1.3119892262433903,2.7074250453824207e-37
cnv,FCER1A,1.3108285677268077,4.662473318206551e-35,1.3108285677268077,1.6917745364107008e-34
cnv,SLC2A3,1.310792738497091,1.3466286336805073e-61,1.310792738497091,5.048388916609986e-60
cnv,MELK,1.3105306346971235,2.17187613823868e-49,1.3105306346971235,1.389786750528101e-48
cnv,CREG1,1.3091510732172873,2.335704896234711e-34,1.3091510732172873,7.942619529342644e-34
cnv,PPP1R2,1.3075516093829347,8.689095423699463e-61,1.3075516093829347,2.2823795790425575e-59
cnv,APOD,1.3064783605713712,8.689095423699463e-61,1.3064783605713712,2.2823795790425575e-59
cnv,CD163,1.3064201416439454,7.93795254221142e-62,1.3064201416439454,3.8190371675306054e-60
cnv,PRRX1,1.3043545725329229,2.572565314795902e-34,1.3043545725329229,8.725228052010123e-34
cnv,GOLT1A,1.302903833292342,2.24171695463087e-35,1.302903833292342,8.465088151353198e-35
cnv,ZEB1,1.3028315597203366,2.0064811004821436e-55,1.3028315597203366,2.136408975021561e-54
cnv,ETV3,1.301901377550108,3.4033257256611456e-35,1.301901377550108,1.2488474908570137e-34
cnv,C1S,1.301526749650407,1.0992762033844192e-61,1.301526749650407,4.6063218974076147e-60
cnv,MNDA,1.301346205747399,1.5093377841128038e-34,1.301346205747399,5.242325619151156e-34
cnv,NES,1.3008914915884096,2.26647009038534e-35,1.3008914915884096,8.509088576331088e-35
cnv,CRABP2,1.3008914915884096,2.26647009038534e-35,1.3008914915884096,8.509088576331088e-35
cnv,IFI16,1.3000106813076693,1.0311455463072648e-34,1.3000106813076693,3.6798298479481787e-34
cnv,CD93,1.2989018375394763,2.0362820082586666e-56,1.2989018375394763,2.6189409195326812e-55
cnv,MDM4,1.2979416710990097,2.24171695463087e-35,1.2979416710990097,8.465088151353198e-35
cnv,ACLY,1.2945139784169146,7.749333147583154e-38,1.2945139784169146,3.4008053238886883e-37
cnv,QSOX1,1.292066516665468,1.1149684584195147e-33,1.292066516665468,3.6118304924861584e-33
cnv,SELL,1.2917564335845204,3.925541172443129e-34,1.2917564335845204,1.3008362201539857e-33
cnv,ARID1B,1.2885686073890068,2.191160561206984e-40,1.2885686073890068,1.1075165638162926e-39
cnv,RAB25,1.2884166735691922,6.585172863195624e-35,1.2884166735691922,2.3695677421859047e-34
cnv,AURKB,1.2878270306377213,1.0681512750808533e-30,1.2878270306377213,3.3354050632933375e-30
cnv,FKBP10,1.287126856816264,7.749333147583154e-38,1.287126856816264,3.4008053238886883e-37
cnv,NID1,1.2855137047716796,2.7896691671461243e-33,1.2855137047716796,8.925567113602993e-33
cnv,EPHX2,1.2853224190036394,9.710289592998953e-26,1.2853224190036394,2.9402485271108715e-25
cnv,SNRPE,1.2839877450623773,5.186926194457101e-35,1.2839877450623773,1.8768292831754245e-34
cnv,JUP,1.2816876038983618,7.749333147583154e-38,1.2816876038983618,3.4008053238886883e-37
cnv,RFC4,1.2811971721934001,1.0238099343877967e-59,1.2811971721934001,2.0593660278863445e-58
cnv,S100A4,1.2785275397167437,2.7472067792767955e-35,1.2785275397167437,1.0196061732230164e-34
cnv,S100A6,1.2785275397167437,2.7472067792767955e-35,1.2785275397167437,1.0196061732230164e-34
cnv,S100A16,1.2778884235508676,2.7472067792767955e-35,1.2778884235508676,1.0196061732230164e-34
cnv,TP53,1.277129167457761,8.304283502540943e-31,1.277129167457761,2.5993407879037794e-30
cnv,BAG1,1.2752526629591103,1.329736960541494e-48,1.2752526629591103,8.425991764601954e-48
cnv,EIF3K,1.2743524538938493,2.182707778922659e-63,1.2743524538938493,2.8353374048205338e-61
cnv,S100A14,1.2742739609780875,2.7472067792767955e-35,1.2742739609780875,1.0196061732230164e-34
cnv,VANGL2,1.273658080251169,1.407252643302434e-34,1.273658080251169,4.900861082171211e-34
cnv,ECH1,1.2725701718219393,2.6411494089285823e-61,1.2725701718219393,7.797393368632338e-60
cnv,S100A9,1.2667736528950884,2.152235228933491e-35,1.2667736528950884,8.198690798781832e-35
cnv,CDKN1B,1.2646406496952083,2.294797565278437e-56,1.2646406496952083,2.9224921934281274e-55
cnv,TBC1D20,1.2589449669236095,1.8481481941216996e-54,1.2589449669236095,1.7916003762418566e-53
cnv,ANKH,1.2583971628978095,4.46369731013438e-56,1.2583971628978095,5.319580555839046e-55
cnv,SCNN1A,1.2582204485092914,7.236564609487358e-62,1.2582204485092914,3.7228048464898897e-60
cnv,MAGEF1,1.2576190130896898,8.258496319520096e-60,1.2576190130896898,1.818268935433323e-58
cnv,FOXM1,1.2561292203190466,5.591846482469604e-62,1.2561292203190466,3.0265869086366735e-60
cnv,NUF2,1.2547150958764228,1.6847563393649577e-33,1.2547150958764228,5.417075457512575e-33
cnv,RGS5,1.2544019109802074,1.6847563393649577e-33,1.2544019109802074,5.417075457512575e-33
cnv,FMOD,1.2503267880799327,1.220491399690552e-34,1.2503267880799327,4.273364766032418e-34
cnv,GAPDH,1.249742435800224,1.0023557388469313e-61,1.249742435800224,4.3402003492072124e-60
cnv,PTMS,1.2496591672105724,1.0023557388469313e-61,1.2496591672105724,4.3402003492072124e-60
cnv,CD4,1.2496591672105724,1.0023557388469313e-61,1.2496591672105724,4.3402003492072124e-60
cnv,VWF,1.2469773479209767,8.785868019501501e-60,1.2469773479209767,1.8709577962840083e-58
cnv,RBBP8,1.2453319329293548,1.4230345162886114e-38,1.2453319329293548,6.508879706545444e-38
