gene,null,rho_pred
APC,shuffle_methy_patients,-0.08288891549789208
GSTP1,shuffle_methy_patients,-0.3512551818206096
SFRP1,shuffle_methy_patients,-0.13623536013533477
SFRP2,shuffle_methy_patients,-0.08101478522306992
SFRP4,shuffle_methy_patients,-0.11443747575052027
WIF1,shuffle_methy_patients,-0.1732561753375462
CDH1,shuffle_methy_patients,-0.33793478616440076
RARRES1,shuffle_methy_patients,-0.20972638872666557
ID4,shuffle_methy_patients,-0.23867861823277178
CCND2,shuffle_methy_patients,-0.1666607359086105
TWIST1,shuffle_methy_patients,-0.12274660744320709
CCND1,shuffle_methy_patients,-0.18484690745627838
MDM2,shuffle_methy_patients,-0.18432730086326846
AURKA,shuffle_methy_patients,-0.06919089326349077
PPM1D,shuffle_methy_patients,-0.12254530133379121
FGF3,shuffle_methy_patients,-0.42191836283992096
FGF19,shuffle_methy_patients,-0.3706892884364731
KRT19,shuffle_methy_patients,-0.25448621008099537
MAL2,shuffle_methy_patients,-0.21089574039165485
CA12,shuffle_methy_patients,-0.22669166832456578
PITX2,shuffle_methy_patients,-0.1695966226949908
PIP,shuffle_methy_patients,-0.4166855585448534
ARID1B,shuffle_methy_patients,-0.14065047677625883
RSAD1,shuffle_methy_patients,-0.2866267435078316
COL1A1,shuffle_methy_patients,-0.06267381519802916
BIRC5,shuffle_methy_patients,-0.07692995862078598
ERBB2,shuffle_methy_patients,-0.29321556648149544
CHEK2,shuffle_methy_patients,-0.07056155103789592
ZNF83,shuffle_methy_patients,-0.23332224751571898
ACTR3B,shuffle_methy_patients,-0.31893800228025865
STC2,shuffle_methy_patients,-0.3106542558777954
GIT1,shuffle_methy_patients,-0.2568849203913812
NDRG1,shuffle_methy_patients,-0.3577654510135125
LAMB3,shuffle_methy_patients,-0.15693765082382372
AKT2,shuffle_methy_patients,-0.3504546051857665
ALDH3B2,shuffle_methy_patients,-0.5591074698762927
TGFB1,shuffle_methy_patients,-0.18263456811751355
STC1,shuffle_methy_patients,-0.3370973823530704
FSCN1,shuffle_methy_patients,-0.16032240582677432
KCTD3,shuffle_methy_patients,-0.1365549927917117
F12,shuffle_methy_patients,-0.20424150773723385
SMAD4,shuffle_methy_patients,-0.1476749054451277
PPP1R2,shuffle_methy_patients,-0.21459169095669073
S100A4,shuffle_methy_patients,-0.13668409513629445
LMO1,shuffle_methy_patients,-0.3473481558790833
PRRX1,shuffle_methy_patients,-0.05394935643514323
ETV3,shuffle_methy_patients,-0.10943287265091278
IL17RB,shuffle_methy_patients,-0.28346490541721947
SND1,shuffle_methy_patients,-0.33670853592297284
MIA,shuffle_methy_patients,-0.38484375746112004
CCNB2,shuffle_methy_patients,-0.04284578510119749
RGS2,shuffle_methy_patients,-0.1590866231456778
ERBB3,shuffle_methy_patients,-0.2225726492875208
GABRP,shuffle_methy_patients,-0.1926221487055892
SERPINB9,shuffle_methy_patients,-0.17435647604833632
RPRD2,shuffle_methy_patients,-0.1506577143171194
CAPN8,shuffle_methy_patients,-0.29614633179907063
FMOD,shuffle_methy_patients,-0.3142272024892102
CHAD,shuffle_methy_patients,-0.4584881931493616
NME3,shuffle_methy_patients,-0.10533729985484681
ANLN,shuffle_methy_patients,-0.08953743461126641
ESR1,shuffle_methy_patients,-0.23125776454755173
MDFIC,shuffle_methy_patients,-0.13538845349148634
BNIPL,shuffle_methy_patients,-0.3875969737534576
RAB25,shuffle_methy_patients,-0.2652386206668665
SQLE,shuffle_methy_patients,-0.14821656689865448
ISM1,shuffle_methy_patients,-0.16729112006947836
