gene,null,rho_pred
WIF1,shuffle_methy_patients,-0.16633248719963487
CDH1,shuffle_methy_patients,-0.39947703547810637
RARRES1,shuffle_methy_patients,-0.2027516002714367
ID4,shuffle_methy_patients,-0.20131265598049322
CCND2,shuffle_methy_patients,-0.18374814851429205
TWIST1,shuffle_methy_patients,-0.14537315154735686
CCND1,shuffle_methy_patients,-0.30560553029017345
MDM2,shuffle_methy_patients,-0.27185192153063453
AURKA,shuffle_methy_patients,-0.07050613125777501
PPM1D,shuffle_methy_patients,-0.13609222271862845
FGF3,shuffle_methy_patients,-0.4577475278380287
FGF19,shuffle_methy_patients,-0.40662873409134054
KRT19,shuffle_methy_patients,-0.3037253608863021
MAL2,shuffle_methy_patients,-0.2324167741198717
CA12,shuffle_methy_patients,-0.4192875181089748
PITX2,shuffle_methy_patients,-0.19910402144678194
PIP,shuffle_methy_patients,-0.699142003832035
ARID1B,shuffle_methy_patients,-0.14747662704339068
RSAD1,shuffle_methy_patients,-0.40538645558656117
COL1A1,shuffle_methy_patients,-0.06686785070397698
BIRC5,shuffle_methy_patients,-0.0920381223215469
ERBB2,shuffle_methy_patients,-0.3729183696708654
CHEK2,shuffle_methy_patients,-0.06686607960476616
ZNF83,shuffle_methy_patients,-0.35881746812083243
ACTR3B,shuffle_methy_patients,-0.39309753612078346
STC2,shuffle_methy_patients,-0.5430085390294268
GIT1,shuffle_methy_patients,-0.22887295216520942
NDRG1,shuffle_methy_patients,-0.39230511681554875
LAMB3,shuffle_methy_patients,-0.13313633191669705
AKT2,shuffle_methy_patients,-0.41228872439427355
ALDH3B2,shuffle_methy_patients,-0.7455499688611812
TGFB1,shuffle_methy_patients,-0.19466417090849333
STC1,shuffle_methy_patients,-0.4888940785592614
FSCN1,shuffle_methy_patients,-0.13155031257342037
KCTD3,shuffle_methy_patients,-0.18076244424366195
F12,shuffle_methy_patients,-0.20772307575616888
SMAD4,shuffle_methy_patients,-0.17128256190223645
PPP1R2,shuffle_methy_patients,-0.23298692044870975
S100A4,shuffle_methy_patients,-0.12430754994243051
LMO1,shuffle_methy_patients,-0.43229579903754156
PRRX1,shuffle_methy_patients,-0.04757851401588805
ETV3,shuffle_methy_patients,-0.079046519243882
IL17RB,shuffle_methy_patients,-0.34683273494451067
SND1,shuffle_methy_patients,-0.3122794748912928
MIA,shuffle_methy_patients,-0.3928391032276067
CCNB2,shuffle_methy_patients,-0.023408618269221658
RGS2,shuffle_methy_patients,-0.13001004662642285
ERBB3,shuffle_methy_patients,-0.3131368345352
GABRP,shuffle_methy_patients,-0.1689836751266104
SERPINB9,shuffle_methy_patients,-0.15360463031277913
RPRD2,shuffle_methy_patients,-0.1473247552860641
CAPN8,shuffle_methy_patients,-0.525396580885572
FMOD,shuffle_methy_patients,-0.44216008368372595
CHAD,shuffle_methy_patients,-0.7426717850520207
NME3,shuffle_methy_patients,-0.10989316383208485
ANLN,shuffle_methy_patients,-0.08068906617030358
ESR1,shuffle_methy_patients,-0.4386153762048988
MDFIC,shuffle_methy_patients,-0.12093375353744618
BNIPL,shuffle_methy_patients,-0.5045717011817143
RAB25,shuffle_methy_patients,-0.24000873845315154
SQLE,shuffle_methy_patients,-0.15450183965465322
ISM1,shuffle_methy_patients,-0.15654627851032685
