gene,methyl_diff_BmA,cohens_d,mwu_p,fdr_bh,direction
PRC1,-0.27413253984683367,-0.29123209810434847,0.01580163727405529,0.1954888268475983,hypo_in_B
OLR1,-0.2669353868590195,-0.26613291503402375,0.01658957154025091,0.19922388187067372,hypo_in_B
GPR160,-0.2106451761277248,-0.2848523823719762,0.01702374972105064,0.19922388187067372,hypo_in_B
EIF3K,0.20137931735264036,0.23777622535217516,0.018801769560494,0.2087826436075864,hyper_in_B
ERBB3,-0.2371328337266976,-0.27120453810558975,0.019594455698850825,0.2087826436075864,hypo_in_B
TMEM147,0.27460893531950525,0.29726305082867227,0.019907019969064018,0.2087826436075864,hyper_in_B
CTHRC1,-0.18873138998493194,-0.2113242725383263,0.020351918671988396,0.2087826436075864,hypo_in_B
NES,0.21743538902516424,0.2764559295916798,0.020480615238473342,0.2087826436075864,hyper_in_B
TM4SF1,0.22280637367873513,0.27152694526393895,0.0208709728278391,0.2087826436075864,hyper_in_B
AGR2,-0.2398091519374583,-0.2885097962509927,0.021334571988628655,0.2087826436075864,hypo_in_B
PTPRC,-0.2849260158679717,-0.2856753688725156,0.021697965270996277,0.2087826436075864,hypo_in_B
SND1,0.12321217762119213,0.17128627966816148,0.02249796320349619,0.2092117224369563,hyper_in_B
NUSAP1,-0.15819218254307962,-0.1711859954490822,0.02270889365943867,0.2092117224369563,hypo_in_B
SEMA3C,-0.24472492412531574,-0.29278190549298727,0.024610065979923795,0.21708792172619368,hypo_in_B
CPXM1,0.21936244948915662,0.27274103200345196,0.02499107720112656,0.21708792172619368,hyper_in_B
CHAD,0.28815368755517384,0.34963289565356215,0.02506788934482606,0.21708792172619368,hyper_in_B
EXO1,-0.3404842982745139,-0.36621531359352655,0.027552582286970616,0.23392682608349563,hypo_in_B
FCER1A,-0.21956640278414732,-0.23666239516581483,0.028656149387644273,0.23861755163173018,hypo_in_B
ID1,0.200384126053911,0.24303982047938552,0.029797572242893446,0.24344054304099738,hyper_in_B
FOXC1,0.18746281741643525,0.2253094788734974,0.03267823105294474,0.2541788018850842,hyper_in_B
MAL2,-0.1603437785921955,-0.211881617133898,0.03316450751859638,0.2541788018850842,hypo_in_B
MKI67,-0.19446401010296316,-0.1973328228539921,0.03527506318308237,0.2541788018850842,hypo_in_B
MAP3K1,-0.15895581382481463,-0.1704376490884624,0.035585735032090865,0.2541788018850842,hypo_in_B
ALDH3B2,-0.24775923568867192,-0.2913786829572812,0.035898738046710205,0.2541788018850842,hypo_in_B
CCNB1,-0.23988772891093874,-0.2398212940499067,0.036108708481160524,0.2541788018850842,hypo_in_B
GABRP,-0.13138893822335534,-0.23196773803583193,0.03621408572912421,0.2541788018850842,hypo_in_B
ID4,0.1622461415406005,0.19584103387072224,0.03706657883315879,0.2541788018850842,hyper_in_B
ANKH,0.23197697394762104,0.2871905249334481,0.03739063981937997,0.2541788018850842,hyper_in_B
CA12,-0.22781694988691525,-0.27353137880161327,0.03804600020051209,0.2541788018850842,hypo_in_B
PRR15L,-0.25325600143612037,-0.30793149866220615,0.03815617118367314,0.2541788018850842,hypo_in_B
NDUFS6,-0.2256962054057911,-0.24886110003822087,0.03815617118367314,0.2541788018850842,hypo_in_B
MRPL36,-0.22334200557721312,-0.2467457597983465,0.04123496802527748,0.27052638113553257,hypo_in_B
KAT2A,0.21310093180157194,0.24391322128284404,0.04291256865871014,0.2740289784739475,hyper_in_B
ZNF703,-0.11669942706151881,-0.17930571902012007,0.043034573986670745,0.2740289784739475,hypo_in_B
SYCP2,-0.23652444171691867,-0.2683680325081291,0.04464750499477751,0.2746005312242001,hypo_in_B
COPZ2,0.23198982388598322,0.24437382877573982,0.04502687694438385,0.2746005312242001,hyper_in_B
RUNX1,-0.18220480409590956,-0.2594572973954401,0.04502687694438385,0.2746005312242001,hypo_in_B
SLC2A10,-0.20366946279005638,-0.2797038005397335,0.04618133805642436,0.2771236499656212,hypo_in_B
ADAMTS12,0.15294194607480616,0.2000175676539605,0.046833406697626596,0.2771236499656212,hyper_in_B
