gene,meandiff_BmA,cohens_d,mwu_p,fdr_bh,is_cellcycle
ARID1A,-0.06256552791886691,-0.07367059839260524,0.13410335115163605,0.5986262994707052,False
MKI67,0.12650462008834817,0.16393662575128248,0.13596124021114875,0.6007267041982388,True
GSTM1,0.19799168847672993,0.18525984163428538,0.14159056521455693,0.6192799468475065,False
NET1,0.20696166603981447,0.21363033409929366,0.14952758666308294,0.6474544502511491,False
PGR,-0.1337089852623649,-0.16320757584484624,0.15324593252372706,0.6569850374532061,False
RFC4,0.093702909696042,0.16109315346266898,0.15530354472467073,0.657932142694002,False
OXCT1,-0.12812445349822732,-0.14296116614423815,0.15668689451559956,0.657932142694002,False
CST1,-0.17444862968437402,-0.17561218236087892,0.15842521078924465,0.657932142694002,False
FPR3,0.17118069065814276,0.1893464661424597,0.15983356807288107,0.657932142694002,False
RARRES2,0.18973615975283253,0.2104405491174862,0.1630277962479837,0.657932142694002,False
KCTD3,-0.17966359956877495,-0.22325000776098797,0.1641031672308365,0.657932142694002,False
LYPLA1,0.14459952558166364,0.16245941710937942,0.1641031672308365,0.657932142694002,False
FABP4,0.164788605895546,0.17163680527230848,0.16772634290546207,0.6662890502574778,False
RGS2,0.11421251240543052,0.12152199783791606,0.1732732839231902,0.6669028308895546,False
KCNK1,-0.16407085112364184,-0.155690908675913,0.17402311699333317,0.6669028308895546,False
FOXA1,-0.0362729922617423,-0.12567788724175044,0.1751524072340812,0.6669028308895546,False
CRABP2,0.12604489092771923,0.15286541162153675,0.1793399376187218,0.6669028308895546,False
CENPF,0.10984192384540092,0.1378780385795209,0.18010923846128823,0.6669028308895546,True
GREB1,-0.10520669810715377,-0.13970924142556448,0.18126778307943314,0.6669028308895546,False
CDC6,0.09864187911706745,0.140601160152546,0.18379688815738293,0.6669028308895546,True
RUNDC1,-0.09414700961868505,-0.13526313884050595,0.18399254952003652,0.6669028308895546,False
FGFR1,0.1295810371640611,0.16244392971224186,0.18635210409734038,0.6669028308895546,False
TSPYL5,0.14170306370496075,0.1851683199812793,0.1871435704354304,0.6669028308895546,False
VWF,0.15862419580449627,0.18207557851536357,0.18873390992055084,0.6669028308895546,False
COL1A2,0.1821060200570909,0.19828129184677185,0.18873394519988906,0.6669028308895546,False
SELENBP1,0.11509113884427846,0.17803515369604325,0.18993325101023417,0.6669028308895546,False
TWIST1,0.09426612911160678,0.10051045950004298,0.1927534465693842,0.6669028308895546,False
ABCC11,-0.14603102742522656,-0.174508773658871,0.19356484081810454,0.6669028308895546,False
PPM1D,0.12396910103897964,0.1551231194488351,0.19397147727648978,0.6669028308895546,False
GIMAP4,0.12800980846281343,0.15592185284602408,0.19519514870900534,0.6669028308895546,False
PLEKHF2,0.09070532880304474,0.12177077913868277,0.19560429451033123,0.6669028308895546,False
ACLY,-0.07015718956382505,-0.07297140325306474,0.2009805062777582,0.670811871322779,False
PLAT,-0.12217473585242494,-0.14928506002925315,0.2013984833070699,0.670811871322779,False
ISM1,0.10247289226067968,0.11327789562602275,0.2013984833070699,0.670811871322779,False
GABRP,0.10969140846950032,0.1436970325081313,0.20370865701868024,0.6730815552136681,False
ATM,-0.14396205151875127,-0.15309122460876112,0.2051888343838434,0.6730815552136681,False
NRN1,0.13545279015275197,0.15066583692514035,0.2116208602546621,0.6834772872492493,False
ACTR3B,0.0988001903024591,0.16875201679854332,0.2133604223461717,0.6834772872492493,True
CCDC3,0.14092895348335274,0.1452249811847463,0.21379688436108923,0.6834772872492493,False
AKR1B1,0.16975293093804947,0.21573252457665204,0.21467185003671574,0.6834772872492493,False
CDH3,0.10946824276419892,0.12999154164444157,0.22176431893684623,0.7000563090971935,False
S100A4,0.16866009206105112,0.1883045818911698,0.22311263430811246,0.7000563090971935,False
EPHX2,-0.10465440863995151,-0.1249869794971957,0.22994220870972837,0.7162947940382186,False
COL1A1,0.1778393459305844,0.18933427729821967,0.23271525269371107,0.7197550315455493,False
MMP2,0.13196712879108882,0.1435184688194353,0.23644943307470467,0.7233792937638052,False
SEZ6L2,-0.07859436948059266,-0.0856207325368602,0.23738956205536643,0.7233792937638052,False
SEC14L2,-0.14049336243502186,-0.1571183847667045,0.239277735521364,0.7233792937638052,False
SFRP1,0.11440203215042068,0.13399462625520617,0.24500572703271317,0.7233792937638052,False
MTDH,0.131321758920289,0.16395521892850562,0.2474205627309266,0.7233792937638052,False
PRRX1,0.16423725755765942,0.17470045193529246,0.24839114774329363,0.7233792937638052,False
CLEC2B,0.16151888899916567,0.18389461767214824,0.24985201392449619,0.7233792937638052,False
GRAMD1A,0.11517860124424248,0.12050795059189189,0.2515638933312331,0.7233792937638052,False
BUB1B,0.1306810053579599,0.16726535561306233,0.2532840132894736,0.7233792937638052,False
RTP4,0.10601601234044442,0.13460224829097622,0.2532840132894736,0.7233792937638052,False
GPR160,0.05697958962677613,0.10406406506490176,0.2537769662887416,0.7233792937638052,False
TBX3,-0.0876203463237415,-0.11731963524673725,0.2577446370020299,0.7233792937638052,False
C1S,0.1855463536769773,0.20842656806098614,0.2587432417642225,0.7233792937638052,False
COTL1,0.12034411559431929,0.1540554911354499,0.26276445600433185,0.7233792937638052,False
AGR2,0.08948785564091138,0.17372432407205382,0.26377646584615855,0.7233792937638052,False
GOLT1A,-0.10297522602469739,-0.1091694882762777,0.264283477709086,0.7233792937638052,False
WASL,0.1304341447954322,0.1598595709247699,0.264283477709086,0.7233792937638052,False
FXYD5,-0.07259392555589385,-0.09191517178135525,0.26529951620104575,0.7233792937638052,False
SLC30A1,0.14154632764872044,0.1514880001032778,0.267851373272432,0.7233792937638052,False
NME4,0.13192056641516695,0.1500847407391306,0.27042004823090826,0.7233792937638052,False
COL10A1,0.1539228915936965,0.17931420087394098,0.27042004823090826,0.7233792937638052,False
NMU,0.1314346758987664,0.19680405994823555,0.2706407519393451,0.7233792937638052,False
ADAMTS2,0.15784750322465993,0.169828905657683,0.27404448503520296,0.7249184583125055,False
PTMS,0.12708021991859675,0.1340929132369867,0.27456495880658405,0.7249184583125055,False
CX3CL1,0.1047306542071653,0.11324582376419026,0.2771774510664968,0.7273808261320795,False
MIR635,-0.06651202775848153,-0.07711461393900662,0.2851162999991319,0.736310802650839,False
ARID1B,-0.0464329938699366,-0.056188740091552655,0.28565096994060846,0.736310802650839,False
OLR1,0.11333706272560254,0.12682303771836564,0.2891427999632963,0.736310802650839,False
FLT1,0.1057092689713093,0.1121360316723768,0.2899527209969248,0.736310802650839,False
AQP1,0.09140174628220549,0.10907288484458369,0.29103493776855205,0.736310802650839,False
DNMT3A,-0.085157499878523,-0.11643143503188648,0.29211986761425957,0.736310802650839,False
TIMP2,0.14227850309995646,0.15461001347400655,0.29484406635381344,0.736310802650839,False
BNIP3L,0.09725724329018676,0.1158992441184499,0.296486731010441,0.736310802650839,False
RPRD2,-0.11950212928482623,-0.13345244759806232,0.29703564390821546,0.736310802650839,False
INHBA,0.12951544414352725,0.13695925866865322,0.29758519737620515,0.736310802650839,False
LMOD1,0.08573166120267023,0.09621283726009773,0.30145140083694133,0.7372895648460417,False
EXT1,0.11136103154416485,0.13666478503240043,0.3025621349670068,0.7372895648460417,False
KAT2A,-0.08867023612529609,-0.09608702575068863,0.3042333340676847,0.7372895648460417,False
SLC2A4RG,0.12637239655252414,0.1430792082460848,0.30479176006337516,0.7372895648460417,False
IGFBP4,0.10655915736474669,0.15818346852249343,0.3098481934438515,0.7407582435838034,False
CTHRC1,0.1598137051350628,0.1611111550858493,0.3104134199212838,0.7407582435838034,False
SCNN1A,0.024376644455290142,0.04457633686543838,0.3143890522678504,0.7407582435838034,False
TRAM1,0.08854389101648619,0.10300076058727783,0.318398020186916,0.7407582435838034,False
LOX,0.16056914976634723,0.16858013603224498,0.319549562714056,0.7407582435838034,False
ASPM,0.07145875322928619,0.09674592325999187,0.32012635448455473,0.7407582435838034,True
CTSS,0.10704529580323097,0.12814007193137314,0.3230205180115241,0.7407582435838034,False
DNMT1,0.09141709796336711,0.11262341904016122,0.32418290671980643,0.7407582435838034,False
