tf,target,edge_sign,obs_coexpr
RB1,DNMT3A,-1,0.057111358152225046
DNMT3A,DNMT3B,1,-0.12765694718305448
HOXB13,DNMT3B,1,0.14487866083678985
ESR1,E2F1,1,0.020341633454837502
MYBL2,E2F1,-1,0.06129636677983421
MYC,E2F1,1,-0.04814514442096877
PGR,E2F1,1,0.01645925542564984
RB1,E2F1,-1,-0.056404935530906884
TP53,E2F1,-1,-0.029981153196437217
E2F4,E2F1,-1,0.01197052054756685
AR,EGFR,-1,-0.3418504856094864
BRCA1,EGFR,-1,-0.3035628176739845
ESR1,EGFR,1,-0.6260363203190377
GATA3,EGFR,1,-0.6032847782314945
MYC,EGFR,1,0.25505328079888245
PGR,EGFR,1,-0.3319053211651618
SMAD4,EGFR,-1,0.10533036994008746
TP53,EGFR,1,-0.006529264233801608
AR,ERBB2,1,0.27009849913270795
ESR1,ERBB2,1,0.03035411807072626
FOXM1,ERBB2,1,-0.023114485453833548
GATA3,ERBB2,1,0.10849499069720385
MYBL2,ERBB2,-1,0.014723275711070898
MYC,ERBB2,-1,-0.31825847999598744
NCOA3,ERBB2,1,0.2590038674409618
PGR,ERBB2,-1,-0.0634405981108856
TP53,ERBB2,1,-0.04731942706921872
TRPS1,ERBB2,1,-0.01309469071941013
HIF1A,ERBB2,1,-0.04961223036033239
EP300,ERBB2,1,0.02082086798959065
AR,ERBB3,1,0.4261939916777982
TWIST1,ERBB3,-1,-0.2842704703705542
AR,ESR1,-1,0.4775875669161448
BRCA1,ESR1,1,0.16929922747952966
DNMT3A,ESR1,1,0.09307650553869495
DNMT3B,ESR1,1,-0.2518839050662093
FOXA1,ESR1,1,0.6829650558214113
FOXM1,ESR1,1,-0.2689488461980141
GATA3,ESR1,1,0.6991538209210119
HOXB13,ESR1,1,-0.052359380772882665
HTATIP2,ESR1,1,-0.2705410803008954
MYC,ESR1,1,-0.22601759645715794
NCOA3,ESR1,1,-0.10790662934863995
NCOR1,ESR1,-1,0.3110890402473849
PGR,ESR1,1,0.4748760896664189
SMAD3,ESR1,-1,0.34917738360666883
SMAD4,ESR1,1,0.020090220815492915
TP53,ESR1,1,0.04499052796598969
TWIST1,ESR1,-1,-0.32818555338669647
ZEB1,ESR1,-1,-0.0379318251895541
HIF1A,ESR1,1,-0.3330301730173596
E2F4,ESR1,-1,-0.4688462272358858
TRPS1,EXT1,1,-0.28825138724169885
E2F1,EZH2,1,0.04263965902839354
MYC,EZH2,1,0.1281775122956634
TP53,EZH2,-1,0.04728390119221909
EP300,EZH2,1,0.060146205145786634
FOXC1,FGF19,1,0.0009488898165818098
MYC,FGF3,1,0.039413730173154804
GATA3,FGF4,1,-0.017307596737638736
MYBL2,FGF4,1,0.26600525277463777
DNMT3B,FGFR1,1,-0.1910511833253363
E2F1,FGFR1,1,-0.10280283906794495
EZH2,FGFR1,1,-0.062224022136305915
GATA3,FGFR1,1,0.07573550647348995
MYC,FGFR1,1,0.31787173596700435
RB1,FGFR1,-1,0.35133207811528505
RUNX1,FGFR1,1,-0.12776449280995197
TP53,FGFR1,1,0.0780015586875359
E2F4,FGFR1,-1,0.037885852018181836
E2F1,FGFR2,1,0.005115128920947749
TWIST1,FGFR2,1,-0.06492568792260066
E2F4,FGFR2,1,-0.0756970397126199
MYC,FGFR4,1,-0.17245544090700582
E2F1,FLT1,1,0.037831358537345997
ESR1,FLT1,-1,-0.005281992983074262
MYC,FLT1,1,0.08806075694529532
TP53,FLT1,1,0.016123185090362077
HIF1A,FLT1,1,0.04554126732818394
AR,FOXA1,1,0.5113406923323334
GATA3,FOXA1,1,0.7064426822223778
BRCA1,FOXC1,-1,-0.24713393534461128
ESR1,FOXC1,1,-0.4676329644619833
EZH2,FOXC1,-1,0.03736412758713585
FOXA1,FOXC1,1,-0.5039801858429938
GATA3,FOXC1,-1,-0.37864418022431356
E2F1,FOXM1,1,0.08217226641082462
ESR1,FOXM1,1,-0.2689488461980141
MYC,FOXM1,1,0.06445296800472398
TP53,FOXM1,-1,-0.011813831219558667
TWIST1,FOXM1,1,-0.1447617840822575
HIF1A,FOXM1,1,0.022843073453879217
E2F4,FOXM1,1,0.29579699027683165
EZH2,GATA3,-1,-0.2805897196400897
RUNX1,GATA3,1,0.18373660825945126
ZEB1,GATA3,-1,0.017126881679082093
TP53,GMPS,-1,0.05355748937780099
DNMT3B,HOXB13,-1,0.14487866083678982
EZH2,HOXB13,-1,0.08086968565635763
FOXA1,HOXB13,1,-0.055814216530671555
AR,IGF1R,1,0.3261955788101505
BRCA1,IGF1R,1,0.13608589962916037
E2F1,IGF1R,1,0.01715446228441189
ESR1,IGF1R,1,0.666648672598651
MYC,IGF1R,1,-0.08084437347316523
NCOA3,IGF1R,1,-0.20227008294961346
PGR,IGF1R,1,0.4281320530156638
PITX2,IGF1R,1,-0.18198631848870075
TP53,IGF1R,-1,0.05596132470097084
AR,IGFBP3,1,-0.234345717248573
DNMT3A,IGFBP3,-1,-0.03050076037910543
