tf,target,edge_sign,is_edge,null,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
RB1,FXYD5,0,0,permute_graph,-0.0017875242015054694,-0.0018622195013267941,-0.0017123907540033355,0.9585561497326203,748,-0.11095144878436373
RB1,SELL,0,0,permute_graph,-0.0003264009113358776,-0.00039290327019325417,-0.0002585659493949953,0.6390374331550802,748,0.14194269593845343
RBBP8,ATM,1,1,permute_graph,0.0021068190859876395,0.0020417546354248323,0.002178332280768528,0.00267379679144385,748,0.34036378036601517
RBBP8,DNMT3A,0,0,permute_graph,0.0036264822098265492,0.0035390166619407863,0.0037144305770025624,0.0053475935828877,748,0.07842896455651874
RUNX1,BCL2,1,1,permute_graph,0.0022273150833785095,0.0021385999235350285,0.002315664531554322,0.01871657754010695,748,0.33837187449792655
RUNX1,BIRC5,1,1,permute_graph,-0.0009264421128002193,-0.0009912060385170668,-0.0008668537546238083,0.8957219251336899,748,-0.3237633162879581
RUNX1,CD44,1,1,permute_graph,0.0018618207092026718,0.0017979702369912587,0.0019264973252023944,0.0066844919786096255,748,0.30328810440350606
RUNX1,CDH1,1,1,permute_graph,0.0007314087286817306,0.0006794413215038327,0.0007823499121538027,0.14705882352941177,748,0.09186035532432665
RUNX1,CDK4,1,1,permute_graph,0.0004968582071885201,0.00041278155878831144,0.0005814298268767824,0.32887700534759357,748,0.1409339979453308
RUNX1,CDK6,1,1,permute_graph,0.0001372739436924974,8.292952506577221e-05,0.00018994521092662375,0.4585561497326203,748,0.20507200625283747
RUNX1,CDKN1B,-1,1,permute_graph,0.002229024855786879,0.0021205677531641776,0.0023303008925988555,0.05213903743315508,748,0.3151081152895999
RUNX1,CDKN2A,1,1,permute_graph,-0.0004109136207832713,-0.00046752328131349443,-0.00034739854803463087,0.7473262032085561,748,-0.15695463084289396
RUNX1,FGFR1,1,1,permute_graph,0.0022801153563085873,0.002218491964659749,0.0023480517952972724,0.004010695187165776,748,0.28352103859631494
RUNX1,GATA3,1,1,permute_graph,0.0013299734082650684,0.001270020223629814,0.001398708172591357,0.058823529411764705,748,0.20463849213923727
RUNX1,IGFBP3,-1,1,permute_graph,-0.00043577718836506106,-0.000490181637344153,-0.0003800188552973384,0.7459893048128342,748,0.26927503965728333
RUNX1,MYC,-1,1,permute_graph,0.0009742620814867218,0.0009091549709629347,0.0010368177041709381,0.11229946524064172,748,0.06829023898511304
RUNX1,NF1,-1,1,permute_graph,0.0017342025450216652,0.0016681313784622847,0.0018023149472623542,0.04144385026737968,748,0.49175567494914146
RUNX1,PTEN,1,1,permute_graph,0.006160388079948339,0.006025514794445518,0.006285768307783017,0.0,748,0.5152006611367971
RUNX1,SFRP1,1,1,permute_graph,0.0005434485870362024,0.00047214277910397474,0.000610141922506454,0.26336898395721925,748,0.21601528904671166
RUNX1,TP53,1,1,permute_graph,0.002091258792032333,0.002014069706132037,0.0021689929496449176,0.016042780748663103,748,0.1350207103807067
RUNX1,VEGFA,-1,1,permute_graph,0.00038513887881960426,0.0003257522642881823,0.00044389137586930825,0.2887700534759358,748,0.1656650376521615
RUNX1,AQP1,1,1,permute_graph,0.0025002504171846747,0.0024035746483451817,0.002604532866723588,0.0106951871657754,748,0.2844566474059708
RUNX1,CCND2,1,1,permute_graph,0.0016677701565621299,0.001612342590589198,0.0017273614269705346,0.014705882352941176,748,0.353410130339584
RUNX1,CD4,-1,1,permute_graph,0.00042813512411154445,0.00037556333666888817,0.00048306532565121576,0.30213903743315507,748,0.06994936092548773
RUNX1,HOXB2,0,0,permute_graph,0.0031585665719762917,0.0030682475148258582,0.003255071581099363,0.004010695187165776,748,0.2000404178418048
RUNX1,HOXB13,0,0,permute_graph,-0.001520139306581142,-0.0015875504960126692,-0.0014511500489765208,0.9545454545454546,748,-0.22809222141517224
RUNX1,RSF1,0,0,permute_graph,0.0017834880936279923,0.0017063315890467133,0.0018649888192787002,0.04679144385026738,748,0.4403679448692147
RUNX1,ECH1,0,0,permute_graph,0.0005751599584674579,0.0004933461875267941,0.0006662921292353294,0.30080213903743314,748,-0.14992461653873657
RUNX1,SFRP2,0,0,permute_graph,-1.4092334390097902e-05,-7.155694105660771e-05,4.364035784456958e-05,0.5267379679144385,748,0.4999116433175926
RUNX1,FSCN1,0,0,permute_graph,-0.0005853352155171191,-0.0006532779678778296,-0.0005113797081659729,0.7553475935828877,748,0.07643921107561263
RUNX1,ESR1,0,0,permute_graph,0.0029484136342178904,0.0028534108837504103,0.0030518623837259475,0.008021390374331552,748,0.18883711165316971
RUNX1,MMP9,0,0,permute_graph,-0.0010123272411485397,-0.0010754018839271879,-0.0009477357442999985,0.8770053475935828,748,-0.019482512272804835
