gene,arrow,injected_value,mean_pred,sem_pred
BLVRA,methy->rna,-2.0,0.2672840356826782,0.02484577766329815
BLVRA,methy->rna,-1.5,0.23770537972450256,0.024755002891697953
BLVRA,methy->rna,-1.0,0.18701305985450745,0.024422661136315933
BLVRA,methy->rna,-0.5,0.09136070311069489,0.023297018662814705
BLVRA,methy->rna,0.0,-0.022036289796233177,0.020853487865615465
BLVRA,methy->rna,0.5,-0.07341810315847397,0.022168503790653892
BLVRA,methy->rna,1.0,-0.21520911157131195,0.022476257987858794
BLVRA,methy->rna,1.5,-0.33142635226249695,0.022317205995009616
BLVRA,methy->rna,2.0,-0.4098477363586426,0.022177724669810727
BRCA1,methy->rna,-2.0,0.2299218475818634,0.030777466141082958
BRCA1,methy->rna,-1.5,0.20080794394016266,0.030824411770465455
BRCA1,methy->rna,-1.0,0.15163110196590424,0.0307874258238404
BRCA1,methy->rna,-0.5,0.06528550386428833,0.030296847156867684
BRCA1,methy->rna,0.0,0.007069399114698172,0.030051320272961073
BRCA1,methy->rna,0.5,-0.018904753029346466,0.029529304314133642
BRCA1,methy->rna,1.0,-0.0736067071557045,0.029980379871771264
BRCA1,methy->rna,1.5,-0.11879860609769821,0.030100194637407103
BRCA1,methy->rna,2.0,-0.15229947865009308,0.030038233206230565
BRCA2,methy->rna,-2.0,0.19913583993911743,0.02996328495895959
BRCA2,methy->rna,-1.5,0.17412959039211273,0.02990162210032961
BRCA2,methy->rna,-1.0,0.13296888768672943,0.029748157990760533
BRCA2,methy->rna,-0.5,0.0634436383843422,0.02932974016750371
BRCA2,methy->rna,0.0,0.028648564592003822,0.03035385489900535
BRCA2,methy->rna,0.5,0.012692716903984547,0.02890790074645056
BRCA2,methy->rna,1.0,-0.004722120705991983,0.02853047671589996
BRCA2,methy->rna,1.5,-0.01652866043150425,0.02840798133543006
BRCA2,methy->rna,2.0,-0.025789964944124222,0.028358370346745078
BRD4,methy->rna,-2.0,0.312730997800827,0.02234010236854346
BRD4,methy->rna,-1.5,0.2778450846672058,0.02238173907293753
BRD4,methy->rna,-1.0,0.21793149411678314,0.022408150756818804
BRD4,methy->rna,-0.5,0.10758604854345322,0.022267917551849384
BRD4,methy->rna,0.0,0.00338308559730649,0.022014902381300636
BRD4,methy->rna,0.5,-0.012527761980891228,0.02231670256246761
BRD4,methy->rna,1.0,-0.09324700385332108,0.02272879587820538
BRD4,methy->rna,1.5,-0.16170263290405273,0.022982020267472883
BRD4,methy->rna,2.0,-0.21230027079582214,0.023079468244456728
BUB1,methy->rna,-2.0,0.06926698982715607,0.03814201952533039
BUB1,methy->rna,-1.5,0.052665650844573975,0.03801841920850206
BUB1,methy->rna,-1.0,0.025851167738437653,0.03776542147284654
BUB1,methy->rna,-0.5,-0.01816542260348797,0.0371461820112856
BUB1,methy->rna,0.0,-0.05460219457745552,0.03678027154835153
BUB1,methy->rna,0.5,-0.071404367685318,0.036391652136985836
BUB1,methy->rna,1.0,-0.09271597117185593,0.03655596728822871
BUB1,methy->rna,1.5,-0.10860846936702728,0.03673386422129749
BUB1,methy->rna,2.0,-0.12060375511646271,0.0368557472011427
BUB1B,methy->rna,-2.0,0.029714828357100487,0.03546238322465351
BUB1B,methy->rna,-1.5,0.019251691177487373,0.03540379544531691
BUB1B,methy->rna,-1.0,0.0039439075626432896,0.03528038037422915
BUB1B,methy->rna,-0.5,-0.018100468441843987,0.03496153540556853
BUB1B,methy->rna,0.0,-0.048697665333747864,0.03468342488557735
