gene,arrow,slope,slope_lo,slope_hi,frac_patients_neg,rho,rho_lo,rho_hi,Delta,n,rho_obs,rho_minus_obs,curated_flag
BRCA1,methy->rna,-0.10074569489977053,-0.10362502957295079,-0.0979484429638536,0.9919786096256684,-0.16272160460461632,-0.17553297084144007,-0.1522850005940634,-0.30902189016342163,748,-0.08964368407230984,-0.07307792053230648,0
BRCA2,methy->rna,-0.05992703220785019,-0.06215328425010036,-0.057684583362846514,0.9652406417112299,-0.09971517546493687,-0.10769439716723263,-0.09377169502061244,-0.18442502617835999,748,-0.0918293888506726,-0.00788578661426427,0
BRD4,methy->rna,-0.13870796325750176,-0.14313550078922238,-0.13468243014528614,0.9986631016042781,-0.3027636928742219,-0.3232794944384237,-0.28477313629480583,-0.4252524971961975,748,-0.051642897039152924,-0.25112079583506897,0
BUB1,methy->rna,-0.051122619735853955,-0.054110257740466815,-0.048183082229699144,0.8810160427807486,-0.0696151458890847,-0.07749155859372328,-0.06379663507376836,-0.1565706729888916,748,0.11082016980511625,-0.18043531569420096,0
BUB1B,methy->rna,-0.0400592413784458,-0.04295092170336326,-0.037224846165174866,0.8502673796791443,-0.06085886299860732,-0.06842368357444194,-0.05502217839665019,-0.12181712687015533,748,-0.0677177197971756,0.0068588567985682775,0
CA12,methy->rna,-0.11447869171299217,-0.11800246943271661,-0.11095451781779737,0.9986631016042781,-0.2686503743741922,-0.2901848989753883,-0.24978597039161843,-0.3509558439254761,748,-0.47722374615874946,0.20857337178455726,0
CBFB,methy->rna,-0.10413033533156577,-0.10913333022053712,-0.09900032010134338,0.9759358288770054,-0.20143420522991062,-0.21742717202561487,-0.1882082765919758,-0.3172510862350464,748,-0.2017220062340421,0.00028780100413147713,0
CCNB1,methy->rna,-0.03791039362466776,-0.040566538054932454,-0.03506666088890353,0.8409090909090909,-0.05747287943687764,-0.06407176804570526,-0.05305524570272448,-0.11571812629699707,748,-0.07694285706830664,0.019469977631429,0
CCNB2,methy->rna,-0.02955336704034252,-0.032471384614235606,-0.026637905453797222,0.7580213903743316,-0.04485573779219614,-0.05158784936974911,-0.03982408050567177,-0.09000763297080994,748,0.03954984456650273,-0.08440558235869887,0
CCND1,methy->rna,-0.1184881984048694,-0.12198605524785253,-0.11512528228928039,1.0,-0.2124184730901879,-0.22768441859314192,-0.1999041716721509,-0.36368995904922485,748,-0.44079263585545997,0.22837416276527206,0
CCNE2,methy->rna,-0.03551096883922012,-0.037688405757714746,-0.033153772190453505,0.8850267379679144,-0.052668191067909285,-0.0584512015684438,-0.04842190016841874,-0.10822048783302307,748,-0.13695933985414163,0.08429114878623234,0
CD44,methy->rna,-0.12482506187450898,-0.12783030887248714,-0.12179002813359892,1.0,-0.2975643113140343,-0.3172866169775122,-0.28165701355091993,-0.3827795386314392,748,-0.11745939226946267,-0.18010491904457165,0
CDC20,methy->rna,-0.05081020805116498,-0.05414613733775731,-0.04750631144718221,0.8622994652406417,-0.07157592660388219,-0.07999053919030472,-0.06516210979968497,-0.1555023193359375,748,-0.08072121991460698,0.009145293310724792,0
