tf,target,edge_sign,is_edge,null,mask_mode,n_targets_of_tf,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
ESR1,CLDN4,1,1,real,rna_only,73,-0.0013578969036907947,-0.0015155152364201528,-0.0012024175726159916,0.7820855614973262,748,-0.06735182019496849
ESR1,MUC1,1,1,real,rna_only,73,0.006643114471725071,0.00646719128695593,0.0068137841934117005,0.001336898395721925,748,0.31859575984840094
ESR1,SERPINB9,1,1,real,rna_only,73,-0.00277867221126977,-0.0029365216711758715,-0.0026309974330757354,0.9318181818181818,748,-0.16341683938309834
ESR1,RARA,1,1,real,rna_only,73,0.023707982495554964,0.023090503204765613,0.02428984740221812,0.0,748,0.5738522082733452
ESR1,BRD4,0,0,real,rna_only,73,0.015665026998052743,0.015301039422278704,0.016038465407046565,0.0,748,0.03035693626878903
ESR1,RGS5,0,0,real,rna_only,73,0.0014425016416289877,0.0013293747356941308,0.0015584432374847433,0.1697860962566845,748,0.39183205193922055
ESR1,FKBP10,0,0,real,rna_only,73,-0.0017625327793957674,-0.0019237933188804254,-0.0015963264849429561,0.8221925133689839,748,0.15388832340420994
ESR1,RHOD,0,0,real,rna_only,73,-0.00022166063560840292,-0.00042388979912073177,-2.6410424443950923e-05,0.4852941176470588,748,0.16130483680507857
ESR1,SEMA3C,0,0,real,rna_only,73,0.00864239008047198,0.008486391701768759,0.008804821434501127,0.0,748,0.3912673032075325
ESR1,NID1,0,0,real,rna_only,73,-0.0031305772410921483,-0.0032917394014341005,-0.0029794834966162457,0.9398395721925134,748,0.05555729984616503
ESR1,CLEC2B,0,0,real,rna_only,73,-0.002659364492813401,-0.002816364793652675,-0.002502226102499562,0.910427807486631,748,-0.16667278840987418
ESR1,PLTP,0,0,real,rna_only,73,-0.005866679108125587,-0.006039152055261399,-0.005701556824817557,0.982620320855615,748,-0.3787510192989173
ESR1,ADAMTS12,0,0,real,rna_only,73,-0.002060884426044111,-0.002202839099163142,-0.0019224577126063743,0.8676470588235294,748,0.0792636715658103
ESR1,RASSF7,0,0,real,rna_only,73,-0.001183436502521582,-0.0013517314136647102,-0.0010328893581054166,0.713903743315508,748,-0.003097229310493582
ESR1,BLVRA,0,0,real,rna_only,73,0.004634452782821992,0.0044660972974552805,0.004798988641178278,0.0106951871657754,748,0.40553277129709303
ESR1,CHEK2,0,0,real,rna_only,73,-0.00047216092953508297,-0.000609171113131922,-0.00033935127767183024,0.5762032085561497,748,-0.24824433205063937
ESR1,ETV3,0,0,real,rna_only,73,0.0003863234888868491,0.00021967222316459593,0.0005705197502968085,0.4318181818181818,748,0.091627069597224
ESR1,SDCBP,0,0,real,rna_only,73,-0.0029238126586388917,-0.0030555875828344814,-0.0027840800017523946,0.9719251336898396,748,-0.15365632797427045
ESR1,TWIST1,0,0,real,rna_only,73,-0.004196007342124276,-0.004363200823569325,-0.0040186695123561175,0.9705882352941176,748,-0.19028224447592962
ESR1,CDC42SE1,0,0,real,rna_only,73,0.0007674568624911365,0.0006079484749975112,0.0009164577100661289,0.3155080213903743,748,0.06384261333690716
ESR1,LAPTM4B,0,0,real,rna_only,73,-0.006024812303031934,-0.006212740758699139,-0.005811443754460216,1.0,748,-0.21738264252686976
ESR1,SMAD4,0,0,real,rna_only,73,0.012925005286978474,0.012643047049296098,0.013220317317224763,0.0,748,0.24246865905801843
ESR1,LAMB3,0,0,real,rna_only,73,-0.003672284791171351,-0.0038651783337620297,-0.0035020146182430712,0.9438502673796791,748,-0.2537835616957421
ESR1,COL1A2,0,0,real,rna_only,73,-0.0021637785231027203,-0.002329072383258976,-0.0019756425376595507,0.8355614973262032,748,0.04997226291198221
ESR1,CST7,0,0,real,rna_only,73,-0.0014905570760541946,-0.0016612773169530975,-0.0013166347368873067,0.7098930481283422,748,-0.3021307365214053
ESR1,HTATIP2,0,0,real,rna_only,73,-0.0024629588510323166,-0.002578326610114953,-0.0023514520144847467,0.9558823529411765,748,-0.17125406017091505
ESR1,LMO1,0,0,real,rna_only,73,-0.0038317110468326352,-0.003956492809630032,-0.0037073076379109,0.9959893048128342,748,-0.26259702839871557
ESR1,ATP6V1C1,0,0,real,rna_only,73,-8.152026870684904e-05,-0.0002302308549520174,6.100993533950604e-05,0.43983957219251335,748,0.32043030435500813
ESR1,ELF3,0,0,real,rna_only,73,-0.001185631501586333,-0.001346118057745553,-0.0010396403902504547,0.6885026737967914,748,0.04808088798365462
ESR1,EFNA4,0,0,real,rna_only,73,-0.003651351803322712,-0.0038428077833017717,-0.0034632247891824906,0.9425133689839572,748,-0.26400477788437543
ESR1,CAPN8,0,0,real,rna_only,73,0.0062856870500035515,0.006074081062262052,0.006516422791429958,0.014705882352941176,748,0.5294280013670841
ESR1,PPP2R5A,0,0,real,rna_only,73,0.01240815827643761,0.012131462685892287,0.012695668435737707,0.0,748,0.4899093744017142
ESR1,CEP55,0,0,real,rna_only,73,-0.0013285699263945508,-0.0014602632716268207,-0.001182290627134493,0.7606951871657754,748,-0.2733847097648909
ESR1,THRSP,0,0,real,rna_only,73,-0.0003361891977963798,-0.00046083691641468427,-0.0002241450022103409,0.5668449197860963,748,0.16654100595157675
ESR1,FSCN1,0,0,real,rna_only,73,-0.006754566675032126,-0.007000369163614586,-0.006513695038799879,0.9759358288770054,748,-0.5153892739087834
ESR1,FGF19,0,0,real,rna_only,73,-0.0021515060783116524,-0.002253244949586494,-0.0020417202399016835,0.9451871657754011,748,0.10680397360880588
ESR1,SNHG9,0,0,real,rna_only,73,-0.001985828591005979,-0.0021533930707024005,-0.0018269700613675914,0.8048128342245989,748,0.024929516083797863
ESR1,TRAM1,0,0,real,rna_only,73,0.0007529913764048549,0.0005753401564554533,0.0009407201578297762,0.29545454545454547,748,0.09147272138323755
ESR1,ISM1,0,0,real,rna_only,73,-0.004731633751105297,-0.004871537994770599,-0.004591429308827742,0.9919786096256684,748,-0.061171898922019796
ESR1,ZHX1,0,0,real,rna_only,73,-0.00191515909334389,-0.002072142246742683,-0.0017612260670829465,0.8462566844919787,748,0.16021703027670822
ESR1,EXO1,0,0,real,rna_only,73,-0.0013050883059653867,-0.0014704857485612905,-0.0011365541192728276,0.7259358288770054,748,-0.24752417418363937
ESR1,RAB4A,0,0,real,rna_only,73,-0.0004694027260922022,-0.0006342203939751092,-0.0003128797967802843,0.5561497326203209,748,0.11906297358386088
ESR1,SEC14L2,0,0,real,rna_only,73,0.0072239873728693295,0.007024735296668017,0.0074163813793985236,0.0,748,0.34071529544349904
ESR1,COPZ2,0,0,real,rna_only,73,-0.0043499524465640885,-0.004507663223269701,-0.0041933080190910965,0.9705882352941176,748,-0.0036512255658218288
ESR1,GOLPH3L,0,0,real,rna_only,73,0.009791644073777073,0.009482703572009449,0.010082033102073977,0.0053475935828877,748,0.4249994559246962
