tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
ESR1,AURKA,1,-0.32236264789896074,-0.2103426215896729,-0.039250215820223776
GATA3,AURKA,1,-0.36333295138909283,-0.27874715860606003,-0.11181292758982923
MYC,AURKA,1,0.1349308478752157,0.18916317741920285,0.0576206140338036
TP53,AURKA,-1,0.004568165825283375,0.11660442037657699,-0.00019910479900278494
HIF1A,AURKA,1,0.12638337956746526,-0.05327591387919509,0.026025709079842627
E2F1,AURKB,1,0.08799904047599359,0.04847945719961575,0.08543185450001742
FOXM1,AURKB,1,0.8781194542807687,0.7647401758685961,0.8579418106731461
E2F4,AURKB,1,0.3306007057113447,0.32153297973499534,0.14725703845059138
DNMT3B,BAG1,1,-0.09405744853576024,0.017805058419903253,-0.0619842688698428
TP53,BAG1,-1,0.053627938436449335,0.03196915013135067,0.049530924636681066
E2F1,BBC3,1,0.029794138584760998,0.0706152562165417,0.02744414423589681
MYC,BBC3,1,0.01811882331813122,-0.05755577822521117,0.04312417507627928
SMAD3,BBC3,1,0.0038940986200858446,0.004199873434209862,-0.005411998936920934
SMAD4,BBC3,1,-0.08236753844413963,-0.10935731326235576,-0.07893275460281697
TP53,BBC3,1,-0.012833123602129513,0.012607779268059015,-0.023112697611911193
AR,BCL2,1,0.2639710462314973,-0.14887700154018998,0.16615436714099532
E2F1,BCL2,1,0.003138776537937702,-0.011445361101289395,0.040702623008417385
ESR1,BCL2,1,0.6331110195252685,0.2975393607007603,0.45799705949995584
EZH2,BCL2,1,-0.342188071009464,-0.1453791397862046,-0.15807233639884563
FOXA1,BCL2,-1,0.4887853999862804,-0.11894810575482398,0.35301779292730834
MYBL2,BCL2,1,-0.06868142042174843,-0.13086923881529974,-0.06453793532450469
MYC,BCL2,1,0.010453874442516031,0.21660724737377202,0.06819537753917702
NCOA3,BCL2,1,-0.1466117406838943,0.06605774511257334,-0.10520432835894128
PGR,BCL2,1,0.4172073939051251,0.17833389349759238,0.2064395971911716
RUNX1,BCL2,1,0.1428261550432385,0.054341213821492165,0.032580900518062846
SMAD3,BCL2,-1,0.42665747131968396,0.44553461901067176,0.3520003969822949
SMAD4,BCL2,1,0.30692960037656886,0.32935099963201186,0.3496778567078066
TP53,BCL2,-1,0.08542808897968011,0.10737375101693372,0.07304903190485412
TWIST1,BCL2,1,-0.2568130702192581,0.01077295338491033,-0.317551701934265
TRPS1,BCL2,1,0.32310668842669793,0.04354079625228221,0.19615347660176063
TOX3,BCL2,1,0.18929827899142773,-0.19843363414677562,0.10120691415772763
HIF1A,BCL2,1,-0.3613182131315642,-0.29438108131595675,-0.2928659391547296
E2F1,BIRC5,1,0.09714595032368112,0.08760446410126814,0.08502172241669018
ESR1,BIRC5,1,-0.27441073618632295,-0.2777646200254011,0.05060715767769219
FOXM1,BIRC5,-1,0.8185606346062021,0.7003332715582097,0.7904954312304379
GATA3,BIRC5,1,-0.3171263529733683,-0.27127969786729245,-0.03779911130107231
MYBL2,BIRC5,1,0.07193922023103554,0.06829627349417902,0.06679874424800486
MYC,BIRC5,1,0.04935381332157548,0.15161102193854528,-0.044416035105928814
RB1,BIRC5,1,-0.2700230964873115,-0.3017623610753087,-0.20403559914174302
RUNX1,BIRC5,1,-0.25210231561693774,-0.19516411360691996,-0.19382310758113
SMAD3,BIRC5,1,-0.03226789645310159,-0.07026788642250321,0.1427150315370545
TP53,BIRC5,-1,-0.06113155778431032,0.08654946145703436,-0.08182398696363169
