tf,target,edge_sign,coexpr__pooled,coexpr__INTCLUST=1,coexpr__INTCLUST=10,coexpr__INTCLUST=2,coexpr__INTCLUST=3,coexpr__INTCLUST=4ER+,coexpr__INTCLUST=4ER-,coexpr__INTCLUST=5,coexpr__INTCLUST=6,coexpr__INTCLUST=7,coexpr__INTCLUST=8,coexpr__INTCLUST=9
FOXA1,BCL2,-1,0.4887853999862804,0.312105512308016,0.1259836937256292,0.6243186582809224,0.2252902767616348,0.5528119936890216,-0.4606482593037215,0.07866303230707358,0.5161819143310418,0.25255584820993077,0.24924560914688115,0.2870540265035678
MYBL2,BCL2,1,-0.06868142042174843,-0.12899747527877128,-0.11445006606296929,0.12948351438917474,-0.01450082805024015,-0.08367234796225675,0.04989195678271309,0.018512891550113944,0.08725542041248016,0.054384938054823924,-0.12374377094331526,-0.06790844222036883
MYC,BCL2,1,0.010453874442516031,0.1333762886597938,0.27248235635332413,0.020392605298265674,0.21202065686883745,0.173511814217625,0.41704681872749094,0.11330711828053083,0.0013220518244315175,-0.06789581504243489,0.1601281194598073,0.22724492632749516
NCOA3,BCL2,1,-0.1466117406838943,0.116965600673259,0.13098192130450195,0.0011053935582237468,-0.05401465574194074,-0.17949626523579978,0.1821892482937693,-0.01656912347416409,-0.2059783974055922,-0.10450199980489709,0.004987194208879142,0.005235868945793142
PGR,BCL2,1,0.4172073939051251,0.14309383547233326,0.15272469466017854,0.20632742519534972,0.15301450082805024,0.3441039754918954,0.06631452581032413,0.3810670718083917,-0.040243257535695395,0.11100380450687738,0.01358667912683481,0.23587248633120195
RUNX1,BCL2,1,0.1428261550432385,0.016732962951149007,0.052877809994707946,-0.045702306079664565,0.03143776548134061,-0.07584498709091808,-0.07582232893157262,0.0198445192418454,-0.13262823902696985,0.09789788544769429,-0.04295064707067719,-0.06227426159376733
SMAD3,BCL2,-1,0.42665747131968396,0.4620239848516726,0.29721294385160535,0.4399847531923003,0.3864065068524601,0.22767632887838632,0.6812484993997598,0.38086641591070713,0.3696456901110523,0.3709394205443372,0.3605493554697096,0.49719210453155416
SMAD4,BCL2,1,0.30692960037656886,0.31929833789185774,0.33137373221445143,0.3298265675624166,0.42712628562259536,0.18058347105199732,0.39735894357743096,0.269123139017929,0.3828183873733201,0.21807140766754463,0.30863835281102325,0.3958483921786674
TP53,BCL2,-1,0.08542808897968011,0.10104144750683777,0.03657954948277529,-0.018410520297312747,0.13169029390426454,0.14946123205580827,0.407923169267707,0.07672371419634479,0.028820729772607082,-0.08674763437713395,0.07485125468797386,-0.1549254007969604
TWIST1,BCL2,1,-0.2568130702192581,-0.28843625078897533,-0.00977087428700332,-0.25763293310463115,-0.15415938360001347,-0.48937675550618714,-0.020504201680672268,0.06643281647973547,-0.24362771020624002,-0.4283191883718662,-0.17618990085289682,-0.10025947548883331
TRPS1,BCL2,1,0.32310668842669793,0.07290132547864507,0.1581096323031807,0.25145797598627784,0.27193300658247843,0.34174325449327037,0.22055222088835533,0.23073863890254256,-0.08577472236911686,0.200804799531753,0.22163488459999947,0.08528403299045502
TOX3,BCL2,1,0.18929827899142773,0.11611087734062696,-0.04208214534027448,0.3433199923765961,0.041619256566779096,0.30504949023991623,-0.32763505402160864,-0.2233835292014835,0.21887890005288205,-0.030782362696322313,-0.01398711408204478,0.20002780094523215
HIF1A,BCL2,1,-0.3613182131315642,-0.38137755102040816,-0.16859269762495568,-0.2540499332952163,-0.16766410241496796,-0.2380271824877424,-0.3327250900360144,-0.22026900218955267,-0.18387096774193545,-0.35583357721197933,-0.2065203829775692,-0.17952923732740247
E2F1,BIRC5,1,0.09714595032368112,0.1915895224069009,-0.1024620540749573,0.04997141223556317,-0.03275527977690092,-0.004648332755534487,0.09656662665066026,0.20054962241387012,-0.07895293495505022,0.038474295190713104,0.07747579944614938,0.24913353720693174
ESR1,BIRC5,1,-0.27441073618632295,-0.05333473595623816,-0.24169056749701912,-0.06521821993520105,0.07162007034600561,0.1649061489589008,-0.15611044417767103,-0.15356807721524643,0.11417239555790586,-0.008550385328260659,-0.024089713210654916,-0.28557130942452047
FOXM1,BIRC5,-1,0.8185606346062021,0.5726514832737217,0.5086429699332925,0.633466742900705,0.7107866936459006,0.8121446242302893,0.7642256902761104,0.3857634389382903,0.7043363299841352,0.6983904009364942,0.710917523714182,0.7248355110740432
GATA3,BIRC5,1,-0.3171263529733683,-0.11192930780559644,-0.16246334310850438,-0.038231370306842004,-0.09598219615454079,0.08456145067602464,0.018007202881152456,-0.0860136735332231,-0.09804336329984134,0.10598965954541022,-0.10119218165544347,-0.2769993513112779
MYBL2,BIRC5,1,0.07193922023103554,0.07271723122238585,-0.012162031516870227,-0.10036211168286638,0.043388608110300576,0.06660487756560375,-0.10357743097238895,0.03409446355958711,-0.0316234796404019,-0.019807823626963227,-0.02754272497959606,0.02611435455472153
MYC,BIRC5,1,0.04935381332157548,0.06321007784557121,-0.055567013631529764,-0.13154183342862585,-0.114381135760444,-0.2628984748468833,-0.41637454981992794,-0.3135618213503731,-0.06033844526705445,-0.15561408643059216,-0.08144363705404145,-0.11845982763413958
RB1,BIRC5,1,-0.2700230964873115,-0.2353529044398153,-0.2741166480565707,-0.33684009910425,-0.1758374633805878,-0.19416399582098137,-0.3235054021608643,-0.327691505084776,-0.3739291380222104,-0.33783330630366826,-0.15526178811512187,-0.22644796589750718
RUNX1,BIRC5,1,-0.25210231561693774,0.01871198921766997,-0.09884478331734647,0.10074328187535733,-0.00894172359451946,-0.07232277041740172,0.18482593037214884,0.02381029515428354,-0.050026441036488616,-0.09051810862130988,0.08521187448919516,-0.16688946086936846
SMAD3,BIRC5,1,-0.03226789645310159,-0.1095097832947612,-0.014949590650644025,0.16409376786735275,0.1216704268208687,0.09906538088735753,-0.27644657863145256,0.10040450914313108,0.10259122157588577,0.3509560042922642,0.1681358737288272,0.019747938096561952
TP53,BIRC5,-1,-0.06113155778431032,0.2395197769829581,-0.01075376236666559,-0.08923194206213074,-0.006921336757777704,-0.15472273909669992,-0.222280912364946,-0.00150587604450601,-0.12644103648863034,-0.2861379377621696,-0.03312908849267307,0.1313872671670837
HIF1A,BIRC5,1,0.03385082339978923,0.01455659583420997,0.04397215687538268,-0.2734133790737564,-0.18050638103780256,-0.0678265094110461,-0.1598559423769508,-0.23895616426113767,0.10005288207297723,-0.27287093942054436,-0.057589154722247564,-0.07078120656102307
