tf,target,edge_sign,coexpr__pooled,coexpr__CLAUDIN_SUBTYPE=Basal,coexpr__CLAUDIN_SUBTYPE=Her2,coexpr__CLAUDIN_SUBTYPE=LumA,coexpr__CLAUDIN_SUBTYPE=LumB,coexpr__CLAUDIN_SUBTYPE=Normal,coexpr__CLAUDIN_SUBTYPE=claudin-low
MYC,CDC20,1,0.0432874976294027,0.020259625432039227,-0.18944389077137733,-0.04092237168948675,0.03479388508820295,-0.30161761224650835,0.11609652297203808
TP53,CDC20,-1,-0.06573947905989644,0.029398762157382848,-0.1858264756969162,-0.033677222708890835,-0.04579376495846283,-0.3446697703779689,0.2767352604745781
AR,CDC6,1,-0.049047933889467245,-0.07262679848886747,0.04936473134200859,0.04521205284821139,-0.00017495818560968923,-0.0368421052631579,-0.31437547518316666
E2F1,CDC6,1,0.016912708905456115,-0.210594003697452,0.0684768928500242,0.04879162150848392,0.005876808491632501,-0.03052947210605224,-0.14005602880437634
FOXM1,CDC6,1,0.38960102493490073,0.29460252391286873,0.29562686864660154,0.18003345613382452,0.293731075715619,0.1645703464057445,0.5100242243526664
E2F4,CDC6,1,0.07484814626501185,-0.007368795452139812,-0.01482731834884455,0.045739248836674164,-0.02851542520480509,0.13567507106923699,0.14544512216937677
E2F1,CDCA7,1,0.03133295997965058,0.01215137881076887,0.08386685270081722,-0.03433742147017647,0.031965912718954194,-0.10291959283516137,-0.0174136992181415
MYC,CDCA7,1,0.23893882699629743,0.43290417350817556,0.10255303397021555,0.11486125171501728,0.14459895835178446,0.020452931429022332,0.2847586180917564
E2F4,CDCA7,1,0.4169188512550131,0.0822163902274344,0.24328283069901677,0.09603170778396398,0.15637482719789017,0.2870726371428624,0.2999525099007039
AR,CDH1,-1,0.04152258556329386,0.18536291294911986,-0.04255588143170363,-0.029595382381529523,-0.1476637845796537,-0.04223940661248324,0.06351986008781041
ARID1A,CDH1,1,0.04121403103363363,0.16825432868581022,0.3063761641880763,0.048238913163930204,-0.04371277515888767,0.03505511761426594,0.030943770149034502
DNMT3A,CDH1,-1,-0.1058500089421236,0.06293304396752673,-0.1961366759513265,-0.04878403747778376,-0.08057533525248332,-0.14031405349956605,-0.10516017525554294
DNMT3B,CDH1,-1,0.07677741354758161,0.04690343109823834,-0.029127253053902444,0.019649839070952427,0.07089581460958361,-0.10994239722244142,0.13990077376372465
ESR1,CDH1,1,0.08370013012450016,0.08926935133831686,-0.09188074831287905,0.045176052704210816,0.05778948957181449,0.11926142192061864,0.00836322373392939
EZH2,CDH1,-1,0.09286107790997954,-0.017418213969938107,0.1729923972778268,0.05903794490397709,-0.008233201449843307,-0.030198118437126612,0.22940837352798707
FOXC1,CDH1,-1,-0.16307886477943948,-0.28190659914797844,-0.008185882285942081,-0.08150106200424802,-0.015906409691697803,-0.15920460822220472,0.02585224743087155
FOXM1,CDH1,1,0.050468542453863105,-0.1503697451973314,-0.0142589481477263,0.023750495001980006,-5.4828445490360365e-05,-0.024043241537126177,0.14133916605211547
GATA3,CDH1,1,0.06076612125564499,0.18565629772526324,-0.13217346735385402,0.04915901263605055,-0.03399332817904876,-0.008190641521344593,0.0812645979693554
HTATIP2,CDH1,1,0.1665580710855009,0.018370709750020097,0.36989777613257774,0.19532948531794128,0.2052388887691014,0.19531286988084906,0.1186445321686161
MYC,CDH1,1,0.016495904060115175,-0.04539024194196608,0.23656596144537145,0.045414709658838634,0.11275654630077406,0.20835634814171863,0.04419974017612314
RB1,CDH1,1,0.07733661899230564,0.21972510248372318,0.30944783641009266,0.09633475796310034,-0.003767916373048309,0.0894622009878382,-0.006899724536150992
RUNX1,CDH1,1,-0.22352342252742355,-0.21083133473137275,-0.21263853635704547,-0.2134556090517885,-0.2828098946608334,-0.277141470614761,-0.3628333131653991
